Codigo Municipio,Densidad,Umbral
06053,6.57,Despoblado11
06054,37.31,Poblado
06055,20.43,Poblado
06056,6.55,Despoblado11
06057,4.96,Despoblado11
06058,69.73,Poblado
06059,12.95,Poblado
06060,28.52,Poblado
06061,13.93,Poblado
06062,2.38,Despoblado11
06063,12.5,Poblado
06064,16.05,Poblado
06065,3.23,Despoblado11
06066,28.55,Poblado
06067,17.53,Poblado
06068,11.8,Despoblado11
06069,11.86,Despoblado21
06070,12.39,Despoblado21
06071,34.2,Poblado
06072,47.88,Poblado
06073,11.51,Despoblado21
06074,35.02,Poblado
06075,7.65,Despoblado11
06076,10.66,Despoblado11
06077,13.38,Poblado
06078,20.36,Poblado
06079,20.12,Poblado
06080,34.6,Poblado
06081,13.31,Poblado
06082,10.61,Despoblado11
06083,68.68,Poblado
06084,29.98,Poblado
06085,13.24,Poblado
06086,7.42,Despoblado11
06087,8.58,Despoblado11
06088,129.37,Poblado
06089,16.46,Poblado
06090,20.72,Poblado
06091,17.49,Poblado
06092,8.91,Despoblado11
06093,34.04,Poblado
06094,7.26,Despoblado11
06095,27.6,Poblado
06096,15.29,Poblado
06097,70.9,Poblado
06098,16.61,Poblado
06099,16.9,Poblado
06100,18.38,Poblado
06101,3.75,Despoblado11
06102,4.24,Despoblado11
06103,411.3,Poblado
06104,6.4,Despoblado11
06105,9.85,Despoblado11
06106,13.07,Poblado
06107,77.76,Poblado
06108,47.01,Poblado
06109,32.33,Poblado
06110,2.68,Despoblado11
06111,56.31,Poblado
06112,5.17,Despoblado11
06113,17.61,Poblado
06114,4.1,Despoblado11
06115,13.16,Poblado
06116,23.57,Poblado
06117,21.45,Poblado
06118,7.24,Despoblado11
06119,37.48,Poblado
06120,54.17,Poblado
06121,34.19,Poblado
06122,74.24,Poblado
06123,19.4,Poblado
06124,17.57,Poblado
06125,10.72,Despoblado11
06126,39.6,Poblado
06127,10.73,Despoblado11
06128,86.36,Poblado
06129,21.53,Poblado
06130,8.58,Despoblado11
06131,21.3,Poblado
06132,46.9,Poblado
06133,95.74,Poblado
06134,11.93,Despoblado11
06135,68.52,Poblado
06136,8.06,Despoblado11
06137,12.07,Despoblado21
06138,29.48,Poblado
06139,3.28,Despoblado11
06140,10.79,Despoblado11
06141,19.47,Poblado
06142,14.32,Poblado
06143,56.96,Poblado
06144,13.73,Poblado
06145,20.06,Poblado
06146,11.22,Despoblado11
06147,73.06,Poblado
06148,302.68,Poblado
06149,120.03,Poblado
06150,13.49,Poblado
06151,30.16,Poblado
06152,16.2,Poblado
06153,169.02,Poblado
06154,10.15,Despoblado11
06155,21.27,Poblado
06156,16.17,Poblado
06157,4.66,Despoblado11
06158,268.15,Poblado
06159,60.58,Poblado
06160,14.14,Poblado
06161,4.15,Despoblado11
06162,53.49,Poblado
06901,85.91,Poblado
06902,69.67,Poblado
06903,82.03,Poblado
07001,125.57,Poblado
07002,86.26,Poblado
07003,344.07,Poblado
07004,66.42,Poblado
07005,142.05,Poblado
07006,57.11,Poblado
07007,30.01,Poblado
07008,298.79,Poblado
07009,130.76,Poblado
07010,83.08,Poblado
07011,355.59,Poblado
07012,77.46,Poblado
07013,76.32,Poblado
07014,218.55,Poblado
07015,164.42,Poblado
07016,309.71,Poblado
07017,89.72,Poblado
07018,44.31,Poblado
07019,2.04,Despoblado11
07020,145.48,Poblado
07021,24.26,Poblado
07022,106.98,Poblado
07023,74.02,Poblado
07024,140.65,Poblado
07025,34.99,Poblado
07026,4546.05,Poblado
07027,578.09,Poblado
07028,84.0,Poblado
07029,516.53,Poblado
07030,68.3,Poblado
07031,116.78,Poblado
07032,252.14,Poblado
07033,172.14,Poblado
07034,78.88,Poblado
07035,73.46,Poblado
07036,707.43,Poblado
07037,39.35,Poblado
07038,75.05,Poblado
07039,128.22,Poblado
07040,2010.09,Poblado
07041,43.23,Poblado
07042,111.9,Poblado
07043,64.71,Poblado
07044,285.51,Poblado
07045,48.62,Poblado
07046,214.55,Poblado
07047,67.01,Poblado
07048,177.56,Poblado
07049,56.69,Poblado
07050,54.54,Poblado
07051,108.67,Poblado
07052,198.24,Poblado
07053,85.14,Poblado
07054,260.7,Poblado
07055,147.58,Poblado
07056,199.55,Poblado
07057,98.85,Poblado
07058,84.64,Poblado
07059,128.07,Poblado
07060,86.34,Poblado
07061,315.21,Poblado
07062,278.08,Poblado
07063,47.57,Poblado
07064,647.46,Poblado
07065,148.5,Poblado
07901,38.76,Poblado
07902,47.71,Poblado
08001,631.63,Poblado
08002,5.68,Despoblado11
08003,1026.19,Poblado
08004,19.66,Poblado
08005,616.63,Poblado
08006,2471.63,Poblado
08007,427.89,Poblado
08008,5.04,Despoblado11
08009,498.38,Poblado
08010,323.74,Poblado
08011,80.96,Poblado
08012,35.94,Poblado
08013,58.19,Poblado
08014,319.5,Poblado
08015,10649.76,Poblado
08016,49.76,Poblado
08017,226.09,Poblado
08018,89.27,Poblado
08019,16243.87,Poblado
08020,145.98,Poblado
08021,2.93,Despoblado11
08022,740.11,Poblado
08023,331.2,Poblado
08024,10.48,Despoblado21
