Codigo Municipio,Nº Establecimientos Agricultura,Nº Establecimientos Industria,Nº Establecimientos Construccion,Nº Establecimientos Servicios
41041,202.0,80.0,40.0,268.0
41042,66.0,26.0,18.0,92.0
41043,3.0,0.0,2.0,16.0
41044,6.0,12.0,23.0,206.0
41045,25.0,18.0,21.0,98.0
41046,56.0,35.0,16.0,59.0
41047,2.0,29.0,43.0,310.0
41048,95.0,10.0,9.0,36.0
41049,41.0,31.0,33.0,211.0
41050,104.0,45.0,36.0,98.0
41051,23.0,12.0,11.0,30.0
41052,23.0,19.0,21.0,54.0
41053,136.0,81.0,140.0,652.0
41054,18.0,5.0,5.0,13.0
41055,162.0,38.0,47.0,322.0
41056,18.0,25.0,27.0,55.0
41057,2.0,0.0,1.0,3.0
41058,64.0,88.0,99.0,356.0
41059,8.0,76.0,163.0,1228.0
41060,147.0,57.0,77.0,344.0
41061,39.0,2.0,1.0,31.0
41062,70.0,12.0,4.0,31.0
41063,12.0,12.0,11.0,30.0
41064,56.0,12.0,17.0,87.0
41065,146.0,115.0,67.0,504.0
41066,37.0,3.0,8.0,20.0
41067,19.0,23.0,42.0,121.0
41068,242.0,42.0,63.0,332.0
41069,90.0,67.0,116.0,480.0
41070,5.0,10.0,19.0,113.0
41071,39.0,22.0,35.0,85.0
41072,75.0,43.0,17.0,82.0
41073,40.0,9.0,8.0,51.0
41074,55.0,6.0,4.0,31.0
41075,68.0,72.0,41.0,231.0
41076,82.0,8.0,5.0,15.0
41077,170.0,31.0,32.0,148.0
41078,74.0,2.0,3.0,50.0
41079,58.0,22.0,27.0,154.0
41080,20.0,10.0,7.0,27.0
41081,110.0,152.0,150.0,806.0
41082,75.0,43.0,13.0,72.0
41083,9.0,2.0,9.0,29.0
41084,54.0,7.0,11.0,44.0
41085,7.0,27.0,37.0,152.0
41086,3.0,12.0,21.0,367.0
41087,24.0,29.0,57.0,281.0
41088,8.0,1.0,1.0,13.0
41089,8.0,16.0,22.0,170.0
41090,77.0,11.0,15.0,49.0
41091,154.0,1168.0,1741.0,25167.0
41092,41.0,18.0,23.0,125.0
41093,3.0,35.0,65.0,688.0
41094,20.0,16.0,16.0,95.0
41095,227.0,129.0,145.0,807.0
41096,8.0,34.0,30.0,265.0
41097,42.0,5.0,12.0,52.0
41098,5.0,10.0,18.0,70.0
41099,50.0,7.0,8.0,48.0
41100,17.0,4.0,5.0,11.0
41101,37.0,19.0,43.0,92.0
41102,49.0,82.0,86.0,393.0
41901,4.0,21.0,7.0,30.0
41902,39.0,11.0,17.0,72.0
41903,,,,
41904,,,,
42001,3.0,4.0,0.0,8.0
42003,0.0,0.0,0.0,3.0
42004,14.0,23.0,22.0,67.0
42006,1.0,1.0,0.0,2.0
42007,3.0,0.0,0.0,3.0
42008,2.0,0.0,0.0,1.0
42009,5.0,1.0,0.0,2.0
42010,0.0,0.0,0.0,1.0
42011,0.0,0.0,0.0,1.0
42012,0.0,0.0,0.0,2.0
42013,0.0,0.0,0.0,1.0
42014,0.0,0.0,0.0,2.0
42015,2.0,0.0,0.0,0.0
42016,0.0,0.0,0.0,1.0
42017,0.0,2.0,0.0,4.0
42018,0.0,0.0,0.0,2.0
42019,2.0,4.0,2.0,19.0
42020,17.0,43.0,37.0,162.0
42021,1.0,0.0,1.0,1.0
42022,2.0,2.0,0.0,6.0
42023,1.0,0.0,0.0,0.0
42024,0.0,0.0,0.0,1.0
42025,6.0,6.0,22.0,34.0
42026,2.0,0.0,1.0,2.0
42027,2.0,0.0,0.0,4.0
42028,0.0,1.0,1.0,1.0
42029,1.0,0.0,2.0,4.0
42030,1.0,0.0,0.0,2.0
42031,0.0,0.0,0.0,1.0
42032,4.0,0.0,1.0,4.0
42033,0.0,0.0,0.0,2.0
42034,0.0,1.0,0.0,1.0
42035,4.0,5.0,5.0,29.0
42036,0.0,0.0,0.0,1.0
42037,0.0,0.0,0.0,1.0
42038,1.0,0.0,0.0,1.0
42039,1.0,2.0,0.0,4.0
42041,0.0,0.0,0.0,1.0
42042,0.0,0.0,0.0,5.0
42043,7.0,18.0,37.0,122.0
42044,0.0,0.0,0.0,1.0
42045,1.0,7.0,1.0,12.0
42046,0.0,0.0,0.0,6.0
42048,0.0,0.0,1.0,2.0
42049,1.0,1.0,0.0,2.0
42050,0.0,0.0,0.0,1.0
42051,0.0,0.0,0.0,1.0
42052,0.0,0.0,0.0,1.0
42053,0.0,0.0,0.0,1.0
42054,0.0,0.0,0.0,1.0
42055,0.0,2.0,0.0,8.0
42056,3.0,0.0,0.0,1.0
42057,1.0,3.0,0.0,6.0
42058,1.0,2.0,0.0,4.0
42059,0.0,0.0,0.0,1.0
42060,0.0,1.0,0.0,1.0
42061,3.0,0.0,1.0,6.0
42062,0.0,0.0,1.0,1.0
42063,0.0,0.0,1.0,1.0
42064,0.0,0.0,0.0,1.0
42065,0.0,0.0,0.0,1.0
42068,1.0,0.0,0.0,0.0
42069,5.0,16.0,6.0,37.0
42070,0.0,0.0,0.0,2.0
42071,2.0,0.0,1.0,5.0
42073,0.0,0.0,0.0,0.0
42075,0.0,0.0,0.0,1.0
42076,0.0,1.0,1.0,5.0
42078,1.0,16.0,6.0,20.0
42079,0.0,0.0,0.0,1.0
42080,0.0,1.0,3.0,3.0
42081,0.0,4.0,1.0,3.0
42082,0.0,0.0,0.0,1.0
42083,1.0,0.0,0.0,1.0
42084,0.0,0.0,1.0,1.0
42085,2.0,0.0,0.0,1.0
42086,0.0,0.0,1.0,1.0
42087,0.0,0.0,1.0,1.0
42088,0.0,0.0,0.0,2.0
42089,0.0,0.0,0.0,1.0
42090,0.0,0.0,0.0,3.0
42092,0.0,0.0,0.0,1.0
42093,1.0,0.0,0.0,2.0
42094,5.0,5.0,6.0,16.0
42095,2.0,12.0,15.0,83.0
42096,0.0,2.0,1.0,11.0
42097,1.0,0.0,0.0,1.0
42098,0.0,0.0,0.0,2.0
42100,0.0,0.0,0.0,1.0
42103,4.0,3.0,3.0,17.0
42105,0.0,0.0,1.0,1.0
42106,0.0,0.0,0.0,1.0
42107,0.0,0.0,1.0,1.0
42108,0.0,0.0,0.0,2.0
42110,1.0,3.0,1.0,9.0
42111,1.0,1.0,1.0,4.0
42113,5.0,5.0,6.0,42.0
42115,2.0,0.0,0.0,2.0
42116,0.0,0.0,1.0,1.0
42117,0.0,2.0,1.0,8.0
42118,0.0,0.0,0.0,1.0
42119,2.0,1.0,1.0,4.0
42120,5.0,0.0,0.0,6.0
42121,0.0,0.0,0.0,2.0
42123,3.0,2.0,3.0,7.0
42124,0.0,0.0,0.0,4.0
42125,1.0,0.0,0.0,2.0
42127,1.0,0.0,0.0,2.0
42128,0.0,0.0,1.0,1.0
42129,2.0,11.0,2.0,26.0
42130,0.0,0.0,0.0,1.0
42131,0.0,0.0,0.0,1.0
42132,2.0,0.0,0.0,3.0
42134,8.0,25.0,17.0,80.0
42135,0.0,3.0,0.0,2.0
42139,0.0,0.0,0.0,1.0
42140,0.0,0.0,0.0,1.0
42141,0.0,0.0,0.0,2.0
42142,0.0,0.0,0.0,1.0
42144,3.0,2.0,2.0,9.0
42145,1.0,0.0,1.0,2.0
42148,1.0,0.0,0.0,1.0
42149,2.0,6.0,2.0,7.0
42151,0.0,0.0,1.0,1.0
42152,0.0,0.0,0.0,1.0
42153,0.0,0.0,0.0,2.0
42154,0.0,0.0,0.0,1.0
42155,1.0,0.0,0.0,6.0
42156,0.0,0.0,0.0,1.0
42157,0.0,0.0,0.0,2.0
42158,0.0,0.0,1.0,2.0
42159,0.0,0.0,1.0,1.0
42160,2.0,0.0,2.0,8.0
42161,0.0,0.0,0.0,5.0
42162,12.0,20.0,14.0,62.0
42163,1.0,0.0,0.0,1.0
42164,1.0,14.0,9.0,37.0
42165,3.0,8.0,6.0,16.0
42166,0.0,0.0,0.0,1.0
42167,1.0,2.0,2.0,7.0
42168,1.0,0.0,0.0,3.0
42171,0.0,1.0,2.0,10.0
42172,0.0,0.0,1.0,1.0
42173,28.0,146.0,210.0,1695.0
42174,3.0,0.0,1.0,5.0
42175,0.0,0.0,0.0,2.0
42176,0.0,0.0,0.0,1.0
42177,1.0,0.0,0.0,2.0
42178,0.0,1.0,0.0,2.0
42181,1.0,3.0,0.0,7.0
42182,0.0,0.0,0.0,1.0
42183,4.0,1.0,0.0,1.0
42184,0.0,0.0,0.0,1.0
42185,0.0,0.0,0.0,1.0
42187,1.0,1.0,0.0,1.0
42188,0.0,0.0,0.0,3.0
42189,2.0,0.0,0.0,6.0
42190,0.0,0.0,1.0,2.0
42191,1.0,0.0,0.0,11.0
42192,0.0,0.0,0.0,1.0
42193,0.0,0.0,0.0,1.0
42194,1.0,0.0,0.0,3.0
42195,2.0,0.0,0.0,1.0
42196,0.0,0.0,0.0,1.0
42197,1.0,0.0,0.0,1.0
42198,0.0,0.0,0.0,1.0
42200,0.0,1.0,0.0,3.0
42201,0.0,0.0,0.0,1.0
42202,0.0,0.0,0.0,1.0
42204,1.0,1.0,0.0,1.0
42205,0.0,2.0,0.0,3.0
42206,0.0,0.0,0.0,1.0
42207,0.0,0.0,0.0,1.0
42208,0.0,0.0,0.0,1.0
42209,1.0,0.0,0.0,4.0
42211,1.0,0.0,0.0,2.0
42212,1.0,0.0,0.0,2.0
42213,1.0,0.0,0.0,1.0
42215,2.0,8.0,3.0,30.0
42216,0.0,0.0,0.0,1.0
42217,1.0,0.0,0.0,1.0
42218,1.0,2.0,1.0,8.0
42219,0.0,0.0,0.0,1.0
43001,19.0,1.0,6.0,13.0
43002,2.0,5.0,10.0,25.0
43003,2.0,0.0,1.0,6.0
43004,101.0,17.0,35.0,221.0
43005,14.0,32.0,24.0,84.0
43006,7.0,2.0,4.0,11.0
43007,7.0,3.0,5.0,12.0
43008,4.0,1.0,4.0,4.0
43009,4.0,6.0,9.0,22.0
43010,5.0,4.0,5.0,13.0
43011,8.0,3.0,3.0,25.0
43012,1.0,4.0,26.0,126.0
43013,68.0,12.0,41.0,183.0
43014,56.0,81.0,89.0,667.0
43015,0.0,1.0,0.0,6.0
43016,7.0,33.0,17.0,133.0
43017,0.0,0.0,0.0,1.0
43018,3.0,0.0,5.0,13.0
43019,1.0,6.0,9.0,39.0
43020,8.0,6.0,6.0,35.0
43021,1.0,4.0,1.0,10.0
43022,11.0,16.0,14.0,28.0
43023,4.0,5.0,1.0,3.0
43024,8.0,21.0,10.0,57.0
43025,7.0,2.0,3.0,19.0
43026,22.0,1.0,7.0,18.0
43027,14.0,0.0,0.0,4.0
43028,7.0,6.0,14.0,42.0
43029,4.0,2.0,1.0,6.0
43030,8.0,0.0,2.0,11.0
43031,4.0,6.0,20.0,33.0
43032,5.0,3.0,1.0,8.0
43033,2.0,3.0,6.0,17.0
43034,8.0,2.0,4.0,11.0
43035,10.0,1.0,3.0,3.0
43036,5.0,3.0,2.0,9.0
43037,11.0,23.0,75.0,511.0
43038,80.0,36.0,177.0,909.0
43039,0.0,0.0,0.0,4.0
43040,3.0,2.0,2.0,5.0
43041,0.0,1.0,1.0,4.0
43042,6.0,5.0,11.0,44.0
43043,4.0,4.0,18.0,59.0
43044,7.0,56.0,27.0,163.0
43045,1.0,0.0,1.0,4.0
43046,0.0,0.0,1.0,1.0
43047,17.0,45.0,50.0,255.0
43048,5.0,4.0,4.0,16.0
43049,13.0,5.0,5.0,26.0
43050,1.0,4.0,16.0,62.0
43051,0.0,6.0,33.0,190.0
43052,8.0,6.0,4.0,14.0
43053,1.0,0.0,2.0,4.0
43054,5.0,23.0,20.0,85.0
43055,19.0,24.0,18.0,74.0
43056,3.0,3.0,8.0,14.0
43057,0.0,0.0,0.0,3.0
43058,2.0,1.0,1.0,3.0
43059,2.0,0.0,1.0,4.0
43060,11.0,8.0,17.0,77.0
43061,0.0,0.0,0.0,2.0
43062,1.0,0.0,2.0,8.0
43063,16.0,3.0,0.0,10.0
43064,4.0,21.0,18.0,90.0
43065,2.0,1.0,1.0,11.0
43066,3.0,3.0,2.0,6.0
43067,5.0,9.0,5.0,7.0
43068,14.0,1.0,2.0,9.0
43069,13.0,11.0,0.0,10.0
43070,1.0,3.0,1.0,4.0
43071,10.0,5.0,13.0,32.0
43072,2.0,1.0,0.0,2.0
43073,0.0,1.0,1.0,3.0
43074,19.0,19.0,15.0,57.0
43075,1.0,1.0,0.0,4.0
43076,3.0,8.0,3.0,7.0
43077,14.0,1.0,1.0,10.0
43078,8.0,9.0,3.0,14.0
43079,8.0,8.0,1.0,18.0
43080,2.0,1.0,0.0,7.0
43081,7.0,4.0,3.0,7.0
43082,3.0,4.0,2.0,6.0
43083,1.0,0.0,1.0,7.0
43084,8.0,1.0,4.0,16.0
43085,4.0,3.0,1.0,4.0
43086,4.0,50.0,33.0,201.0
43088,5.0,10.0,12.0,43.0
43089,8.0,1.0,0.0,3.0
43090,1.0,0.0,3.0,12.0
43091,1.0,1.0,0.0,8.0
43092,44.0,15.0,63.0,258.0
43093,16.0,16.0,24.0,193.0
43094,13.0,10.0,19.0,69.0
43095,2.0,8.0,22.0,74.0
43096,5.0,3.0,0.0,7.0
43097,4.0,1.0,2.0,7.0
43098,8.0,1.0,3.0,9.0
43099,8.0,1.0,1.0,6.0
43100,2.0,8.0,11.0,63.0
43101,1.0,0.0,2.0,4.0
43102,0.0,3.0,2.0,6.0
43103,4.0,11.0,8.0,30.0
43104,16.0,13.0,20.0,84.0
43105,4.0,0.0,0.0,4.0
43106,2.0,5.0,5.0,9.0
43107,3.0,6.0,1.0,8.0
43108,6.0,13.0,8.0,46.0
43109,1.0,13.0,23.0,46.0
43110,0.0,0.0,1.0,4.0
43111,4.0,4.0,10.0,28.0
43112,5.0,2.0,3.0,9.0
43113,2.0,5.0,3.0,13.0
43114,13.0,9.0,1.0,8.0
43115,4.0,1.0,1.0,5.0
43116,0.0,1.0,2.0,27.0
43117,0.0,1.0,1.0,2.0
43118,2.0,0.0,3.0,15.0
43119,6.0,7.0,3.0,14.0
43120,4.0,0.0,0.0,5.0
43121,5.0,4.0,4.0,14.0
43122,0.0,0.0,0.0,4.0
43123,67.0,281.0,428.0,3148.0
43124,0.0,8.0,4.0,7.0
43125,1.0,2.0,4.0,18.0
43126,4.0,13.0,14.0,36.0
43127,10.0,2.0,3.0,15.0
43128,3.0,5.0,11.0,11.0
43129,38.0,38.0,33.0,159.0
43130,0.0,2.0,1.0,4.0
43131,7.0,11.0,37.0,140.0
43132,5.0,6.0,3.0,13.0
43133,46.0,20.0,44.0,142.0
43134,2.0,1.0,0.0,8.0
43135,6.0,7.0,5.0,20.0
43136,108.0,40.0,57.0,354.0
43137,9.0,15.0,14.0,36.0
43138,35.0,14.0,19.0,68.0
43139,5.0,25.0,25.0,93.0
43140,3.0,21.0,22.0,67.0
43141,0.0,0.0,2.0,3.0
43142,5.0,14.0,5.0,16.0
43143,0.0,0.0,0.0,2.0
43144,10.0,6.0,12.0,24.0
43145,18.0,33.0,30.0,131.0
43146,0.0,0.0,0.0,3.0
43147,3.0,3.0,3.0,6.0
43148,80.0,277.0,495.0,5005.0
43149,7.0,4.0,5.0,21.0
43150,11.0,7.0,3.0,20.0
43151,1.0,1.0,1.0,1.0
43152,15.0,1.0,1.0,12.0
43153,15.0,23.0,82.0,465.0
43154,2.0,4.0,0.0,5.0
43155,113.0,115.0,131.0,1075.0
43156,24.0,59.0,17.0,142.0
43157,1.0,5.0,0.0,8.0
43158,0.0,0.0,1.0,6.0
43159,0.0,0.0,0.0,4.0
43160,6.0,10.0,11.0,35.0
43161,23.0,120.0,96.0,745.0
43162,2.0,22.0,35.0,170.0
43163,13.0,77.0,130.0,854.0
43164,4.0,0.0,3.0,8.0
43165,6.0,6.0,8.0,12.0
43166,5.0,7.0,8.0,40.0
43167,11.0,5.0,4.0,10.0
43168,0.0,0.0,1.0,5.0
43169,4.0,1.0,4.0,17.0
43170,18.0,4.0,7.0,29.0
43171,11.0,28.0,125.0,626.0
43172,0.0,0.0,0.0,9.0
43173,1.0,1.0,0.0,2.0
43174,4.0,4.0,0.0,3.0
43175,3.0,6.0,3.0,10.0
43176,7.0,4.0,5.0,12.0
43177,1.0,0.0,1.0,10.0
43178,20.0,3.0,18.0,56.0
43901,45.0,26.0,91.0,250.0
43902,15.0,6.0,14.0,53.0
43903,20.0,17.0,32.0,63.0
43904,36.0,17.0,36.0,104.0
43905,2.0,6.0,65.0,800.0
43906,21.0,4.0,13.0,77.0
43907,,,,
44001,1.0,0.0,2.0,0.0
44002,2.0,0.0,0.0,2.0
44003,0.0,0.0,0.0,1.0
44004,2.0,5.0,5.0,16.0
44005,1.0,1.0,0.0,0.0
44006,2.0,0.0,3.0,1.0
44007,3.0,1.0,0.0,5.0
44008,9.0,18.0,10.0,32.0
44009,5.0,7.0,6.0,53.0
44010,3.0,7.0,4.0,10.0
44011,1.0,0.0,0.0,2.0
44012,0.0,1.0,5.0,29.0
44013,35.0,82.0,115.0,591.0
44014,6.0,17.0,26.0,84.0
44016,4.0,3.0,5.0,16.0
44017,3.0,3.0,3.0,10.0
44018,0.0,0.0,0.0,0.0
44019,2.0,0.0,1.0,1.0
44020,0.0,0.0,0.0,0.0
44021,0.0,0.0,0.0,3.0
44022,2.0,2.0,7.0,7.0
44023,0.0,0.0,1.0,0.0
44024,1.0,0.0,0.0,1.0
44025,13.0,23.0,41.0,175.0
44026,0.0,0.0,0.0,4.0
44027,0.0,0.0,0.0,4.0
44028,1.0,0.0,0.0,5.0
44029,4.0,4.0,3.0,13.0
44031,1.0,0.0,0.0,9.0
44032,0.0,0.0,0.0,0.0
44033,1.0,0.0,1.0,4.0
44034,0.0,0.0,1.0,1.0
44035,2.0,0.0,0.0,1.0
44036,0.0,0.0,0.0,2.0
44037,0.0,0.0,7.0,15.0
44038,0.0,1.0,1.0,2.0
44039,0.0,0.0,2.0,5.0
44040,0.0,0.0,2.0,1.0
44041,2.0,1.0,0.0,2.0
44042,0.0,0.0,1.0,2.0
44043,0.0,0.0,0.0,2.0
44044,0.0,1.0,2.0,3.0
44045,0.0,1.0,7.0,13.0
44046,1.0,0.0,0.0,1.0
44047,1.0,1.0,2.0,6.0
44048,0.0,0.0,2.0,2.0
44049,7.0,11.0,14.0,30.0
44050,10.0,29.0,31.0,139.0
44051,23.0,26.0,39.0,75.0
44052,0.0,0.0,0.0,1.0
44053,2.0,0.0,0.0,3.0
44054,0.0,0.0,1.0,11.0
44055,0.0,0.0,1.0,3.0
44056,4.0,6.0,6.0,9.0
44059,4.0,4.0,7.0,26.0
44060,0.0,1.0,0.0,2.0
44061,0.0,3.0,0.0,3.0
44062,0.0,0.0,0.0,1.0
44063,1.0,1.0,0.0,1.0
44064,0.0,0.0,0.0,2.0
44065,0.0,0.0,1.0,0.0
44066,1.0,0.0,1.0,3.0
44067,2.0,2.0,2.0,3.0
44068,6.0,3.0,7.0,9.0
44070,1.0,0.0,0.0,1.0
44071,8.0,4.0,4.0,25.0
44074,6.0,9.0,5.0,18.0
44075,3.0,2.0,2.0,5.0
44076,1.0,13.0,24.0,34.0
44077,2.0,1.0,0.0,1.0
44080,10.0,4.0,3.0,10.0
44082,1.0,0.0,0.0,1.0
44084,0.0,1.0,1.0,0.0
44085,0.0,0.0,0.0,1.0
44086,5.0,4.0,5.0,15.0
44087,2.0,0.0,2.0,2.0
44088,1.0,0.0,0.0,2.0
44089,0.0,0.0,0.0,1.0
44090,1.0,1.0,2.0,1.0
44092,0.0,0.0,0.0,1.0
44093,1.0,0.0,3.0,2.0
44094,0.0,0.0,0.0,3.0
44096,2.0,2.0,2.0,5.0
44097,1.0,0.0,0.0,2.0
44099,1.0,4.0,3.0,11.0
44100,1.0,0.0,2.0,4.0
44101,1.0,0.0,1.0,1.0
44102,0.0,0.0,0.0,0.0
44103,0.0,2.0,0.0,3.0
44105,0.0,0.0,0.0,3.0
44106,1.0,2.0,2.0,4.0
44107,1.0,0.0,0.0,3.0
44108,5.0,4.0,3.0,11.0
44109,2.0,0.0,0.0,3.0
44110,0.0,0.0,0.0,1.0
44111,2.0,0.0,1.0,2.0
44112,2.0,3.0,1.0,7.0
44113,0.0,1.0,2.0,2.0
44114,2.0,2.0,3.0,13.0
44115,6.0,1.0,1.0,5.0
44116,2.0,1.0,0.0,5.0
44117,1.0,1.0,1.0,8.0
44118,5.0,1.0,2.0,2.0
44119,0.0,0.0,0.0,1.0
44120,0.0,1.0,1.0,3.0
44121,1.0,0.0,2.0,3.0
44122,6.0,8.0,8.0,45.0
44123,2.0,0.0,2.0,3.0
44124,0.0,0.0,0.0,1.0
44125,1.0,0.0,0.0,1.0
44126,1.0,5.0,4.0,11.0
44127,2.0,0.0,0.0,2.0
44128,1.0,0.0,0.0,3.0
44129,0.0,0.0,0.0,0.0
44130,1.0,0.0,0.0,0.0
44131,1.0,0.0,0.0,1.0
44132,2.0,0.0,0.0,0.0
44133,1.0,0.0,0.0,1.0
44135,0.0,0.0,2.0,1.0
44136,1.0,0.0,0.0,2.0
44137,1.0,1.0,6.0,8.0
44138,2.0,0.0,2.0,2.0
44141,1.0,1.0,0.0,2.0
44142,,,,
44143,1.0,4.0,5.0,12.0
44144,0.0,1.0,7.0,7.0
44145,6.0,11.0,15.0,29.0
44146,2.0,2.0,4.0,7.0
44147,7.0,1.0,5.0,7.0
44148,4.0,1.0,1.0,2.0
44149,1.0,0.0,2.0,3.0
44150,0.0,0.0,0.0,0.0
44151,6.0,1.0,1.0,6.0
44152,0.0,0.0,1.0,1.0
44153,2.0,11.0,15.0,55.0
44154,6.0,3.0,4.0,13.0
44155,0.0,5.0,9.0,32.0
44156,0.0,0.0,1.0,1.0
44157,1.0,0.0,0.0,1.0
44158,3.0,9.0,17.0,64.0
44159,1.0,0.0,0.0,1.0
44160,1.0,11.0,8.0,9.0
44161,3.0,4.0,5.0,11.0
44163,0.0,0.0,0.0,2.0
44164,0.0,0.0,1.0,1.0
44165,0.0,0.0,2.0,5.0
44167,0.0,0.0,1.0,1.0
44168,1.0,0.0,0.0,1.0
44169,2.0,0.0,4.0,3.0
44171,0.0,1.0,2.0,4.0
44172,2.0,1.0,1.0,8.0
44173,1.0,0.0,0.0,1.0
44174,0.0,5.0,4.0,6.0
44175,0.0,1.0,1.0,3.0
44176,2.0,0.0,2.0,2.0
44177,0.0,0.0,1.0,4.0
44178,0.0,0.0,0.0,3.0
44179,9.0,2.0,3.0,12.0
44180,0.0,0.0,1.0,2.0
44181,0.0,0.0,0.0,1.0
44182,3.0,1.0,2.0,10.0
44183,0.0,0.0,0.0,3.0
44184,0.0,0.0,0.0,0.0
44185,0.0,0.0,2.0,1.0
44187,2.0,0.0,4.0,3.0
44189,2.0,0.0,0.0,2.0
44190,0.0,0.0,1.0,2.0
44191,5.0,17.0,11.0,27.0
44192,6.0,2.0,1.0,18.0
44193,0.0,1.0,1.0,7.0
44194,2.0,0.0,1.0,5.0
44195,0.0,0.0,0.0,2.0
44196,0.0,0.0,1.0,2.0
44197,1.0,1.0,2.0,0.0
44198,1.0,2.0,3.0,3.0
44199,1.0,0.0,0.0,1.0
44200,0.0,0.0,0.0,1.0
44201,2.0,8.0,8.0,23.0
44203,,,,
44204,,,,
44205,11.0,1.0,6.0,9.0
44206,0.0,0.0,2.0,4.0
44207,2.0,1.0,2.0,1.0
44208,0.0,0.0,0.0,2.0
44209,6.0,9.0,3.0,22.0
44210,10.0,4.0,8.0,27.0
44211,0.0,0.0,0.0,1.0
44212,2.0,0.0,0.0,1.0
44213,1.0,0.0,0.0,1.0
44215,3.0,0.0,2.0,2.0
44216,31.0,147.0,214.0,1474.0
44217,1.0,0.0,0.0,1.0
44218,0.0,0.0,0.0,0.0
44219,0.0,0.0,4.0,2.0
44220,5.0,1.0,0.0,1.0
44221,2.0,0.0,1.0,8.0
44222,0.0,0.0,0.0,1.0
44223,2.0,0.0,2.0,1.0
44224,2.0,0.0,0.0,0.0
44225,1.0,0.0,1.0,5.0
44226,2.0,0.0,2.0,5.0
44227,2.0,0.0,1.0,3.0
44228,1.0,0.0,1.0,5.0
44229,2.0,0.0,1.0,3.0
44230,3.0,0.0,0.0,6.0
44231,0.0,1.0,0.0,3.0
44232,3.0,0.0,0.0,7.0
44234,0.0,0.0,1.0,1.0
44235,1.0,0.0,4.0,8.0
44236,0.0,1.0,2.0,1.0
44237,1.0,2.0,3.0,5.0
44238,3.0,11.0,11.0,58.0
44239,0.0,0.0,0.0,1.0
44240,0.0,1.0,4.0,5.0
44241,6.0,4.0,5.0,12.0
44243,0.0,0.0,1.0,1.0
44244,0.0,1.0,0.0,6.0
44245,4.0,6.0,4.0,5.0
44246,9.0,20.0,23.0,89.0
44247,1.0,5.0,3.0,2.0
44249,0.0,0.0,0.0,1.0
44250,0.0,0.0,0.0,0.0
44251,7.0,0.0,0.0,3.0
44252,1.0,0.0,0.0,1.0
44256,3.0,0.0,1.0,1.0
44257,0.0,0.0,2.0,3.0
44258,0.0,0.0,0.0,1.0
44260,2.0,2.0,2.0,3.0
44261,2.0,2.0,8.0,11.0
44262,0.0,3.0,0.0,2.0
44263,2.0,2.0,0.0,6.0
44264,4.0,3.0,6.0,7.0
44265,12.0,1.0,0.0,3.0
44266,1.0,0.0,0.0,2.0
44267,2.0,0.0,0.0,2.0
44268,0.0,0.0,0.0,0.0
45001,7.0,12.0,12.0,25.0
45002,12.0,24.0,14.0,61.0
45003,7.0,5.0,8.0,11.0
45004,3.0,3.0,2.0,18.0
45005,8.0,0.0,4.0,2.0
45006,20.0,5.0,14.0,26.0
45007,10.0,4.0,5.0,14.0
45008,0.0,1.0,3.0,4.0
45009,4.0,3.0,1.0,5.0
45010,2.0,1.0,0.0,5.0
45011,0.0,1.0,1.0,8.0
45012,17.0,6.0,4.0,13.0
45013,6.0,11.0,17.0,50.0
45014,8.0,24.0,36.0,93.0
45015,2.0,4.0,3.0,12.0
45016,2.0,4.0,16.0,74.0
45017,2.0,0.0,0.0,6.0
45018,3.0,2.0,1.0,9.0
45019,16.0,17.0,33.0,131.0
45020,30.0,8.0,17.0,37.0
45021,8.0,42.0,20.0,98.0
45022,3.0,0.0,2.0,9.0
45023,4.0,3.0,17.0,31.0
45024,11.0,6.0,11.0,13.0
45025,11.0,7.0,10.0,20.0
45026,1.0,1.0,1.0,4.0
45027,7.0,1.0,4.0,7.0
45028,40.0,22.0,27.0,62.0
45029,2.0,0.0,3.0,6.0
45030,16.0,2.0,3.0,16.0
45031,18.0,13.0,10.0,49.0
45032,4.0,4.0,1.0,8.0
45033,3.0,1.0,1.0,15.0
45034,25.0,14.0,10.0,28.0
45035,1.0,2.0,3.0,7.0
45036,6.0,6.0,3.0,13.0
45037,16.0,12.0,7.0,20.0
45038,0.0,14.0,29.0,65.0
45039,8.0,1.0,2.0,4.0
45040,4.0,4.0,10.0,25.0
45041,4.0,83.0,41.0,192.0
45042,3.0,0.0,2.0,4.0
45043,10.0,2.0,9.0,12.0
45045,5.0,10.0,18.0,84.0
45046,10.0,19.0,39.0,59.0
45047,6.0,30.0,24.0,51.0
45048,8.0,3.0,4.0,6.0
45049,2.0,0.0,3.0,7.0
45050,0.0,1.0,1.0,7.0
45051,8.0,12.0,9.0,35.0
45052,4.0,3.0,10.0,62.0
45053,116.0,50.0,65.0,171.0
45054,40.0,22.0,21.0,80.0
45055,7.0,13.0,13.0,21.0
45056,9.0,2.0,6.0,22.0
45057,1.0,3.0,2.0,6.0
45058,6.0,1.0,2.0,7.0
45059,8.0,5.0,5.0,38.0
45060,1.0,2.0,1.0,5.0
45061,13.0,9.0,26.0,69.0
45062,13.0,16.0,5.0,25.0
45063,1.0,3.0,4.0,11.0
45064,3.0,38.0,28.0,80.0
45065,1.0,0.0,1.0,5.0
45066,12.0,62.0,38.0,186.0
45067,17.0,24.0,16.0,52.0
45068,1.0,0.0,2.0,4.0
