Codigo Municipio,Nº Establecimientos Agricultura,Nº Establecimientos Industria,Nº Establecimientos Construccion,Nº Establecimientos Servicios
23044,272.0,30.0,11.0,78.0
23045,61.0,5.0,8.0,19.0
23046,98.0,12.0,8.0,39.0
23047,102.0,2.0,5.0,36.0
23048,162.0,1.0,2.0,8.0
23049,109.0,6.0,2.0,18.0
23050,1060.0,325.0,400.0,4330.0
23051,159.0,19.0,9.0,23.0
23052,115.0,5.0,2.0,17.0
23053,272.0,20.0,17.0,114.0
23054,12.0,1.0,0.0,5.0
23055,246.0,145.0,127.0,1291.0
23056,270.0,15.0,6.0,40.0
23057,66.0,3.0,0.0,7.0
23058,461.0,142.0,42.0,195.0
23059,227.0,37.0,18.0,87.0
23060,762.0,110.0,87.0,426.0
23061,65.0,52.0,50.0,166.0
23062,188.0,5.0,1.0,16.0
23063,468.0,10.0,13.0,45.0
23064,83.0,10.0,4.0,15.0
23065,60.0,15.0,5.0,33.0
23066,253.0,26.0,15.0,85.0
23067,106.0,17.0,11.0,40.0
23069,863.0,23.0,13.0,101.0
23070,156.0,20.0,18.0,69.0
23071,138.0,12.0,10.0,36.0
23072,140.0,11.0,9.0,65.0
23073,211.0,7.0,14.0,77.0
23074,108.0,15.0,17.0,36.0
23075,223.0,13.0,25.0,41.0
23076,7.0,3.0,6.0,25.0
23077,87.0,2.0,0.0,8.0
23079,293.0,17.0,11.0,56.0
23080,138.0,6.0,7.0,31.0
23081,116.0,6.0,2.0,33.0
23082,113.0,4.0,7.0,31.0
23084,74.0,5.0,2.0,21.0
23085,109.0,10.0,3.0,34.0
23086,638.0,73.0,51.0,216.0
23087,471.0,67.0,40.0,264.0
23088,299.0,22.0,40.0,112.0
23090,161.0,9.0,9.0,27.0
23091,81.0,2.0,1.0,5.0
23092,852.0,121.0,111.0,1000.0
23093,135.0,8.0,7.0,29.0
23094,146.0,24.0,18.0,52.0
23095,801.0,16.0,9.0,158.0
23096,121.0,16.0,11.0,54.0
23097,647.0,28.0,18.0,119.0
23098,95.0,1.0,3.0,7.0
23099,479.0,22.0,15.0,43.0
23101,59.0,1.0,0.0,2.0
23901,83.0,11.0,4.0,27.0
23902,271.0,10.0,6.0,34.0
23903,240.0,14.0,15.0,51.0
23904,33.0,6.0,7.0,39.0
23905,101.0,7.0,6.0,36.0
24001,0.0,0.0,1.0,4.0
24002,4.0,0.0,1.0,3.0
24003,1.0,0.0,2.0,14.0
24004,2.0,4.0,1.0,12.0
24005,3.0,2.0,0.0,8.0
24006,0.0,1.0,4.0,11.0
24007,2.0,2.0,4.0,11.0
24008,1.0,60.0,54.0,427.0
24009,1.0,0.0,1.0,8.0
24010,7.0,56.0,44.0,403.0
24011,0.0,0.0,0.0,2.0
24012,1.0,0.0,0.0,4.0
24014,6.0,43.0,26.0,208.0
24015,2.0,11.0,13.0,54.0
24016,0.0,7.0,1.0,8.0
24017,2.0,3.0,2.0,13.0
24018,0.0,0.0,0.0,2.0
24019,0.0,0.0,1.0,7.0
24020,1.0,3.0,0.0,10.0
24021,2.0,12.0,13.0,54.0
24022,0.0,1.0,3.0,5.0
24023,4.0,8.0,3.0,10.0
24024,2.0,2.0,0.0,12.0
24025,0.0,0.0,1.0,4.0
24026,8.0,5.0,3.0,9.0
24027,0.0,15.0,8.0,29.0
24028,1.0,3.0,3.0,9.0
24029,1.0,1.0,2.0,6.0
24030,3.0,27.0,28.0,99.0
24031,2.0,1.0,0.0,3.0
24032,3.0,0.0,0.0,1.0
24033,2.0,0.0,0.0,2.0
24034,5.0,36.0,35.0,105.0
24036,0.0,0.0,1.0,4.0
24037,1.0,1.0,1.0,6.0
24038,6.0,22.0,17.0,62.0
24039,6.0,14.0,15.0,54.0
24040,2.0,6.0,3.0,11.0
24041,0.0,1.0,1.0,11.0
24042,1.0,0.0,1.0,1.0
24043,0.0,2.0,1.0,2.0
24044,1.0,0.0,0.0,3.0
24046,1.0,1.0,3.0,7.0
24047,4.0,2.0,4.0,18.0
24049,1.0,6.0,10.0,13.0
24050,0.0,0.0,0.0,4.0
24051,1.0,0.0,2.0,2.0
24052,2.0,0.0,0.0,4.0
24053,4.0,2.0,0.0,7.0
24054,3.0,3.0,4.0,6.0
24055,3.0,3.0,7.0,12.0
24056,1.0,16.0,14.0,82.0
