Codigo Municipio,Nº Hombres Extranjeros,Nº Mujeres Extranjeras,Nº Total Extranjeros
31012,51.0,48.0,99.0
44022,38.0,35.0,73.0
44023,3.0,3.0,6.0
25019,691.0,435.0,1125.0
29009,29.0,51.0,80.0
13011,76.0,68.0,144.0
41009,17.0,16.0,34.0
13012,2.0,4.0,7.0
19020,19.0,24.0,43.0
13013,293.0,235.0,528.0
42017,23.0,23.0,46.0
42018,2.0,2.0,4.0
02009,789.0,777.0,1567.0
24004,30.0,16.0,46.0
10019,45.0,44.0,89.0
49007,2.0,1.0,3.0
16015,38.0,21.0,59.0
29010,89.0,76.0,165.0
42019,20.0,22.0,42.0
26012,,,
46032,234.0,242.0,476.0
25020,9.0,9.0,18.0
42020,407.0,346.0,753.0
12009,2273.0,2190.0,4463.0
42021,,,
12010,1.0,6.0,7.0
13014,12.0,13.0,25.0
14004,82.0,48.0,130.0
18016,19.0,17.0,36.0
49008,3.0,8.0,11.0
25021,313.0,159.0,473.0
42022,5.0,5.0,10.0
12011,268.0,271.0,539.0
47008,,,
37027,12.0,13.0,26.0
37028,4.0,5.0,8.0
06010,4.0,7.0,11.0
45011,7.0,11.0,18.0
06011,2255.0,1821.0,4076.0
21003,36.0,30.0,65.0
16016,13.0,16.0,29.0
41010,122.0,128.0,250.0
04013,11396.0,10774.0,22171.0
46033,25.0,29.0,54.0
50021,,,
04014,9.0,9.0,18.0
13015,99.0,77.0,177.0
16017,11.0,6.0,17.0
14005,94.0,109.0,203.0
29011,215.0,198.0,413.0
19021,70.0,71.0,141.0
44018,1.0,,1.0
10020,18.0,23.0,41.0
46034,87.0,83.0,170.0
50022,1.0,5.0,6.0
50023,2.0,2.0,4.0
50024,66.0,35.0,101.0
45012,58.0,49.0,107.0
19022,33.0,36.0,69.0
16018,4.0,5.0,9.0
21004,38.0,32.0,69.0
21005,1676.0,1808.0,3485.0
03015,2037.0,1739.0,3775.0
45013,177.0,123.0,299.0
43011,37.0,43.0,80.0
03016,7.0,7.0,14.0
22021,67.0,68.0,134.0
50025,1156.0,940.0,2097.0
22022,11.0,10.0,22.0
22023,10.0,13.0,23.0
18017,2664.0,2669.0,5333.0
13016,32.0,27.0,59.0
46035,388.0,410.0,798.0
44019,2.0,1.0,3.0
19023,11.0,12.0,23.0
48912,55.0,84.0,139.0
29012,682.0,644.0,1327.0
25022,7.0,6.0,13.0
21006,73.0,84.0,157.0
19024,768.0,752.0,1520.0
29013,120.0,114.0,234.0
17006,165.0,146.0,312.0
29014,11.0,7.0,18.0
42023,1.0,,1.0
50026,32.0,22.0,54.0
28010,844.0,883.0,1727.0
08004,10.0,7.0,17.0
44020,,,
02010,96.0,105.0,201.0
25023,280.0,210.0,490.0
46036,12.0,12.0,24.0
18904,120.0,102.0,221.0
03017,24.0,20.0,44.0
46037,104.0,90.0,194.0
12901,193.0,209.0,402.0
22024,27.0,29.0,56.0
18018,15.0,14.0,29.0
04015,3.0,5.0,8.0
25024,15.0,12.0,27.0
09013,,,
43012,321.0,328.0,649.0
16019,,,
03018,4045.0,4008.0,8053.0
22025,147.0,66.0,213.0
09014,7.0,4.0,11.0
31010,404.0,337.0,741.0
12012,272.0,230.0,502.0
20906,2.0,2.0,4.0
20007,7.0,6.0,13.0
19027,25.0,7.0,32.0
46017,2685.0,2541.0,5225.0
05012,1.0,2.0,3.0
34009,1.0,,1.0
50027,5.0,2.0,7.0
28011,49.0,46.0,95.0
17007,96.0,105.0,201.0
15002,1488.0,1800.0,3288.0
31013,12.0,11.0,24.0
43013,1067.0,918.0,1985.0
08005,343.0,431.0,774.0
09016,1.0,6.0,7.0
20008,18.0,21.0,39.0
33003,12.0,14.0,26.0
32002,74.0,77.0,151.0
48003,844.0,726.0,1570.0
48004,5.0,8.0,13.0
43906,491.0,507.0,998.0
43014,2354.0,1955.0,4309.0
34010,17.0,13.0,30.0
39002,112.0,99.0,211.0
01002,409.0,334.0,742.0
34011,3.0,7.0,10.0
47009,2.0,,2.0
44024,1.0,,1.0
40017,7.0,8.0,16.0
37029,2.0,2.0,4.0
28012,68.0,63.0,131.0
13017,17.0,14.0,31.0
31014,32.0,25.0,57.0
49009,12.0,10.0,22.0
46038,10.0,14.0,24.0
20009,384.0,341.0,725.0
44025,529.0,383.0,912.0
31015,267.0,199.0,465.0
07005,1832.0,1908.0,3741.0
23005,680.0,638.0,1318.0
50028,8.0,4.0,12.0
17008,584.0,510.0,1094.0
25027,80.0,72.0,152.0
19031,,,
26013,35.0,27.0,63.0
22027,18.0,15.0,33.0
26014,9.0,8.0,17.0
19032,9.0,8.0,17.0
09017,24.0,10.0,34.0
39003,2.0,1.0,4.0
50029,22.0,12.0,34.0
46039,120.0,109.0,229.0
20010,52.0,43.0,95.0
19033,2.0,2.0,4.0
19034,,,
22028,7.0,10.0,17.0
31016,672.0,665.0,1337.0
04016,364.0,326.0,690.0
27003,46.0,35.0,81.0
46040,44.0,40.0,84.0
29015,1147.0,1161.0,2307.0
35003,2298.0,2043.0,4342.0
24005,3.0,4.0,7.0
34012,4.0,8.0,12.0
22029,2.0,3.0,5.0
20011,48.0,34.0,82.0
31017,4.0,8.0,12.0
01049,6.0,5.0,11.0
40018,,1.0,1.0
50030,6.0,2.0,8.0
14006,13.0,17.0,30.0
31018,29.0,28.0,57.0
45014,235.0,177.0,412.0
37030,,,
31019,197.0,167.0,364.0
37031,3.0,2.0,5.0
21007,185.0,167.0,352.0
38004,197.0,226.0,424.0
22032,0.0,2.0,2.0
41011,169.0,159.0,328.0
40019,,1.0,1.0
31020,3.0,7.0,10.0
48005,7.0,1.0,8.0
31025,26.0,36.0,62.0
20012,5.0,6.0,11.0
01003,23.0,34.0,57.0
31021,2.0,4.0,6.0
42024,,,
09018,2085.0,2055.0,4140.0
50031,10.0,5.0,15.0
50032,29.0,25.0,54.0
09019,7.0,7.0,14.0
16020,2.0,,2.0
15003,12.0,13.0,25.0
31023,313.0,329.0,643.0
28013,4300.0,4382.0,8682.0
31024,,1.0,1.0
31022,2.0,8.0,10.0
48006,10.0,11.0,21.0
19036,76.0,52.0,128.0
12013,5.0,10.0,15.0
37032,15.0,14.0,29.0
31026,3.0,1.0,4.0
46041,6.0,11.0,17.0
09020,30.0,19.0,49.0
09021,2.0,5.0,7.0
09022,1.0,5.0,6.0
19037,10.0,1.0,11.0
25029,226.0,155.0,381.0
19038,1.0,1.0,2.0
31027,43.0,38.0,81.0
36001,83.0,74.0,157.0
43016,670.0,508.0,1177.0
04017,1514.0,1484.0,2998.0
43015,2.0,3.0,5.0
17009,925.0,625.0,1551.0
16905,61.0,61.0,121.0
31028,7.0,7.0,14.0
37033,6.0,4.0,10.0
49010,7.0,7.0,14.0
30009,2203.0,1311.0,3514.0
29016,68.0,69.0,137.0
29017,340.0,285.0,625.0
45015,43.0,49.0,92.0
37034,,6.0,6.0
34015,,,
40020,12.0,26.0,38.0
09023,31.0,21.0,52.0
42025,223.0,157.0,379.0
11006,459.0,480.0,939.0
49011,1.0,,1.0
16022,,3.0,3.0
44026,3.0,4.0,7.0
31029,61.0,51.0,112.0
29018,58.0,61.0,119.0
50033,,,
24006,23.0,21.0,44.0
48093,70.0,72.0,142.0
31030,14.0,9.0,23.0
22035,18.0,26.0,44.0
05013,71.0,68.0,139.0
13903,19.0,17.0,36.0
29019,128.0,134.0,262.0
39004,23.0,25.0,48.0
13018,57.0,49.0,105.0
05014,243.0,261.0,504.0
18020,150.0,118.0,268.0
42026,1.0,1.0,2.0
09024,8.0,5.0,13.0
44027,6.0,6.0,13.0
08006,1056.0,1057.0,2113.0
08007,322.0,324.0,646.0
26015,17.0,10.0,27.0
26016,,,
15004,135.0,128.0,263.0
12014,3.0,5.0,8.0
31031,,1.0,1.0
20013,221.0,141.0,362.0
05015,2.0,3.0,5.0
40021,,,
05016,239.0,226.0,465.0
42027,1.0,1.0,2.0
13019,480.0,380.0,861.0
13020,96.0,101.0,198.0
28014,7585.0,6555.0,14140.0
24007,28.0,27.0,55.0
49012,1.0,,1.0
22036,1.0,4.0,6.0
19039,3.0,2.0,5.0
17010,16.0,19.0,35.0
12015,0.0,,0.0
08008,22.0,12.0,34.0
44028,2.0,5.0,7.0
43017,3.0,4.0,7.0
08009,366.0,386.0,752.0
45016,319.0,310.0,629.0
39005,41.0,41.0,81.0
31032,167.0,123.0,289.0
22037,2.0,3.0,5.0
16024,2.0,2.0,4.0
49013,4.0,2.0,6.0
31033,,2.0,2.0
07901,112.0,55.0,168.0
31034,1.0,2.0,3.0
38005,707.0,773.0,1480.0
09025,4.0,2.0,6.0
44029,93.0,63.0,156.0
50034,139.0,84.0,223.0
23006,48.0,43.0,91.0
23007,42.0,40.0,82.0
09026,6.0,8.0,14.0
19040,3.0,,3.0
31035,,,
17011,60.0,53.0,113.0
37035,65.0,59.0,124.0
18021,1409.0,1221.0,2630.0
01006,4.0,4.0,8.0
40022,13.0,4.0,17.0
04018,8.0,15.0,23.0
19041,23.0,25.0,48.0
26017,23.0,29.0,53.0
26018,1015.0,955.0,1970.0
43018,9.0,3.0,12.0
32003,31.0,30.0,61.0
39006,58.0,71.0,129.0
21008,30.0,16.0,46.0
38006,18430.0,16802.0,35232.0
49014,1.0,1.0,2.0
23008,63.0,11.0,74.0
49015,,10.0,10.0
01037,23.0,24.0,47.0
16025,0.0,,0.0
48009,17.0,17.0,35.0
20055,694.0,663.0,1357.0
48914,9.0,6.0,15.0
09027,,,
01008,16.0,19.0,35.0
35004,7311.0,6975.0,14286.0
39007,5.0,1.0,6.0
25031,6.0,1.0,7.0
29020,137.0,130.0,267.0
48010,14.0,17.0,31.0
48011,344.0,330.0,675.0
13021,3.0,6.0,9.0
31036,12.0,20.0,32.0
47010,518.0,511.0,1029.0
10021,28.0,36.0,64.0
19042,,,
06012,125.0,81.0,206.0
23905,166.0,59.0,225.0
10023,13.0,18.0,31.0
28015,1014.0,1115.0,2129.0
10022,2.0,3.0,5.0
21009,2.0,3.0,5.0
31037,1.0,2.0,3.0
26019,32.0,35.0,66.0
25032,4.0,6.0,10.0
07006,840.0,723.0,1563.0
31038,47.0,56.0,103.0
12016,53.0,46.0,99.0
31039,7.0,7.0,14.0
48023,36.0,37.0,73.0
15005,1810.0,1745.0,3555.0
35005,8.0,9.0,18.0
08010,307.0,248.0,556.0
25033,84.0,60.0,144.0
25034,452.0,383.0,835.0
50035,,3.0,3.0
48008,33.0,28.0,61.0
01004,59.0,61.0,120.0
35006,600.0,673.0,1273.0
15006,115.0,104.0,219.0
43019,67.0,63.0,130.0
50036,,,
25036,2.0,2.0,4.0
49016,2.0,1.0,3.0
01009,82.0,66.0,148.0
03019,868.0,823.0,1691.0
20014,35.0,35.0,70.0
20903,148.0,143.0,291.0
39008,674.0,780.0,1454.0
24008,309.0,304.0,612.0
34017,15.0,19.0,34.0
49017,4.0,2.0,6.0
29021,11.0,6.0,17.0
06013,1.0,,1.0
16026,14.0,9.0,23.0
37037,,,
19043,4.0,2.0,6.0
09029,5.0,3.0,8.0
47011,3.0,3.0,6.0
18022,628.0,579.0,1206.0
20015,35.0,38.0,73.0
28016,1.0,4.0,5.0
50037,2.0,5.0,7.0
50038,170.0,103.0,272.0
31040,3.0,5.0,8.0
19044,65.0,64.0,128.0
48091,37.0,30.0,67.0
46003,38.0,42.0,80.0
12001,55.0,54.0,109.0
48070,11.0,16.0,27.0
19045,4.0,4.0,9.0
31058,7.0,6.0,13.0
26020,226.0,128.0,354.0
42028,,0.0,0.0
09030,5.0,3.0,8.0
34018,2.0,2.0,4.0
34019,3.0,3.0,7.0
26021,648.0,510.0,1158.0
05017,4.0,,4.0
05018,,2.0,2.0
25037,12.0,18.0,30.0
09032,1.0,,1.0
08011,69.0,62.0,131.0
05019,3172.0,3182.0,6354.0
33004,2331.0,2369.0,4700.0
08012,135.0,113.0,247.0
17012,56.0,44.0,100.0
08013,121.0,73.0,194.0
32004,307.0,321.0,628.0
01010,33.0,45.0,78.0
21010,1699.0,1398.0,3097.0
31041,135.0,107.0,242.0
22039,34.0,36.0,70.0
40024,160.0,111.0,271.0
02011,22.0,17.0,39.0
12017,5.0,14.0,19.0
49018,12.0,5.0,17.0
46044,162.0,185.0,348.0
34020,,,
31042,370.0,280.0,650.0
44031,3.0,2.0,5.0
22040,3.0,3.0,6.0
22041,4.0,3.0,7.0
20017,505.0,354.0,859.0
22042,3.0,3.0,6.0
41012,124.0,154.0,278.0
41013,99.0,89.0,188.0
26022,4.0,8.0,12.0
20018,495.0,424.0,919.0
06014,53.0,89.0,142.0
50039,28.0,23.0,51.0
12018,10.0,5.0,15.0
31043,,,
19046,4715.0,4146.0,8860.0
45017,1.0,,1.0
37038,17.0,12.0,29.0
04019,3.0,4.0,7.0
06015,4212.0,4204.0,8416.0
08015,18889.0,15374.0,34262.0
26023,23.0,23.0,46.0
44032,,,
08904,505.0,514.0,1019.0
41014,35.0,39.0,74.0
50040,5.0,1.0,6.0
22043,2.0,0.0,2.0
14007,724.0,360.0,1084.0
23009,466.0,308.0,774.0
08016,68.0,60.0,128.0
44033,25.0,21.0,46.0
50041,1.0,,1.0
47012,10.0,5.0,15.0
09033,3.0,3.0,6.0
19047,1.0,2.0,3.0
23010,291.0,192.0,483.0
22044,9.0,14.0,23.0
36003,468.0,399.0,867.0
25039,14.0,11.0,25.0
31044,5.0,2.0,7.0
48012,77.0,88.0,165.0
25040,2166.0,1520.0,3687.0
02012,103.0,74.0,177.0
09034,17.0,11.0,28.0
