Codigo Municipio,Nº viviendas
17019,1217.0
17020,2211.0
35007,566.0
15009,7875.0
31055,177.0
46070,11307.0
16035,486.0
12021,3149.0
17021,82.0
26030,29.0
44041,111.0
03043,2520.0
46071,495.0
31253,94.0
20024,281.0
50901,254.0
22057,696.0
02016,776.0
06020,1102.0
22058,234.0
22059,3040.0
03044,3165.0
08023,4391.0
50050,305.0
48020,162561.0
33006,1328.0
22060,726.0
22061,4548.0
07008,3926.0
25055,149.0
50051,711.0
22062,122.0
43027,179.0
43028,2845.0
17022,5105.0
22063,157.0
50052,102.0
17234,144.0
31056,144.0
42036,68.0
30011,3561.0
43029,334.0
44042,266.0
32012,713.0
17023,25257.0
05033,198.0
05034,22.0
05035,238.0
14011,483.0
22064,151.0
44043,290.0
42037,47.0
37052,230.0
34033,11.0
17029,170.0
34035,171.0
34034,103.0
28022,16380.0
33007,1564.0
28023,4283.0
26031,109.0
47020,193.0
32013,1934.0
24020,698.0
46072,2613.0
40032,599.0
47021,85.0
47022,73.0
19052,138.0
37054,345.0
06021,734.0
47023,2031.0
37055,176.0
02017,1082.0
05036,142.0
10030,670.0
05037,788.0
15010,1241.0
15011,10258.0
32014,1241.0
13023,5096.0
47024,219.0
46073,962.0
41016,4030.0
21013,6411.0
32015,1509.0
22066,981.0
03045,290.0
17024,772.0
22067,88.0
21014,2292.0
43030,552.0
02018,609.0
16036,286.0
05038,322.0
02019,1855.0
46074,1901.0
24021,2210.0
15012,1753.0
50053,485.0
22068,89.0
50054,160.0
25057,280.0
17025,740.0
44044,160.0
29030,583.0
25058,3606.0
43031,1017.0
50055,4165.0
42038,42.0
41017,7998.0
11010,3592.0
42039,234.0
45021,2313.0
17026,313.0
08024,456.0
24022,399.0
12032,19797.0
12031,3404.0
11011,1228.0
25059,775.0
43032,470.0
43033,498.0
10031,261.0
50056,321.0
37056,58.0
27008,1241.0
49024,693.0
37057,188.0
25056,241.0
09054,123.0
05039,75.0
43034,402.0
47025,107.0
34036,529.0
28024,238.0
09055,103.0
13024,854.0
24023,333.0
50057,940.0
28025,474.0
17027,1774.0
41018,5194.0
38008,3218.0
38009,2977.0
49025,203.0
49026,215.0
40033,127.0
26032,120.0
19053,3240.0
49027,159.0
49028,116.0
37058,92.0
26033,206.0
15013,3659.0
26034,914.0
09056,5244.0
44045,797.0
22069,756.0
10032,1582.0
08025,1068.0
08026,140.0
28026,4086.0
17028,185.0
42041,49.0
50058,120.0
18032,462.0
16038,112.0
19054,366.0
16039,762.0
16040,174.0
37059,112.0
45022,538.0
37060,249.0
34037,383.0
38010,2037.0
16041,608.0
44046,74.0
36004,6720.0
46075,97.0
46076,681.0
09057,122.0
07009,706.0
42042,47.0
28027,1233.0
14012,3987.0
19055,137.0
50059,464.0
05040,97.0
50060,262.0
30012,6348.0
09058,333.0
07010,3237.0
46077,5328.0
31057,1252.0
44047,306.0
27902,5632.0
50061,185.0
49029,448.0
50062,1368.0
42043,4433.0
24024,820.0
29031,1269.0
05041,1795.0
09059,92076.0
31059,222.0
41019,2801.0
45023,1611.0
06022,2085.0
46078,18287.0
31060,7365.0
24025,296.0
45024,656.0
03046,1876.0
18033,315.0
19057,125.0
28028,2409.0
50063,117.0
47026,44.0
34038,214.0
49030,140.0
24026,1056.0
34039,69.0
09060,204.0
31061,52.0
48021,1354.0
43035,236.0
37061,250.0
40034,167.0
15014,2381.0
25060,77.0
15015,2395.0
17031,153.0
12033,2820.0
17030,455.0
31062,749.0
28029,628.0
19058,4156.0
08027,341.0
50064,283.0
45025,899.0
40035,158.0
49031,160.0
45026,337.0
10033,525.0
24027,762.0
09061,156.0
37063,123.0
06023,3428.0
37065,327.0
06024,1088.0
10034,477.0
37062,99.0
45027,495.0
13025,235.0
13026,516.0
05042,95.0
41020,7767.0
05043,92.0
05044,506.0
21015,526.0
26035,46.0
39012,4176.0
09062,70.0
39013,531.0
47027,1940.0
47028,21.0
40036,603.0
10035,1526.0
05045,81.0
