Codigo Municipio,Total impuestos (Millones euros)
27018,0.68864076
28018,1.9227
29018,0.0
30018,3.3467
31018,0.195
32018,0.18218997
33018,0.6115
34018,0.0753
35018,7.514
36018,0.90244742
37018,0.022
38018,0.8124
39018,0.0
40018,0.0
41018,2.8650184700000003
42018,0.083
43018,0.0815
44018,0.0
45018,0.310664
46018,0.261803
47018,0.0193
48018,0.2863
49018,0.0
50018,0.0
50018,0.342695
01019,0.07173646
02019,1.7454
03019,8.42727403
04019,0.0655168
05019,22.352223700000003
06019,0.4805
07019,0.1901
08019,860.8485112100001
09019,0.0578
10019,0.0
11019,0.80553535
13019,1.9706276999999999
14019,1.5923911899999998
15019,5.943
16019,0.0
17019,0.79003733
19019,0.00619
20019,3.4987
21019,0.10392378
22019,0.04715
23019,0.45956432
24019,0.0522
25019,2.02045
26019,2.054
27019,1.95
28019,0.3605
29019,0.0
30019,7.615538
31019,1.10759
32019,2.84086222
33019,1.5738563300000001
34019,0.03986
35019,32.716
36019,0.35761214
37019,0.0
38019,6.187237980000001
39019,0.42225
40019,0.02671259
41019,1.7571588200000001
42019,0.2868
43019,10.88562378
44019,0.01355
45019,2.9561
46019,4.76916707
47019,0.0
48019,1.057208
49019,0.029305
50019,0.0
50019,0.02032012
01020,0.0
02020,0.26427235
03020,0.03762
04020,0.128591
06020,0.33001
07020,1.4800555
08020,2.8967
09020,0.1138
10020,0.24
11020,82.33599
12020,0.122
13020,1.9669906499999998
14020,0.0766
15020,0.9005
16020,0.009
17020,1.7768
18020,0.2581
19020,0.0
20020,0.02225
21020,0.0
22020,0.0341
23020,0.3605391
24020,0.1445
25020,0.09825110000000001
26020,0.1845
27020,0.6945301500000001
28020,0.06496414
29020,0.89846756
30020,1.61017
31020,0.15349
32020,0.278845
33020,8.8123
34020,0.008
35020,1.5441607200000003
36020,0.4085
37020,0.12185324
38020,4.733
39020,14.7069
40020,0.0869
