Codigo Municipio,Superficie Km2,Densidad Poblacion
06123,275.26,20.9
06124,104.39,20.01
06125,202.47,10.72
06126,65.03,43.01
06127,337.79,10.73
06128,61.5,90.36
06129,31.31,24.82
06130,29.71,8.58
06131,57.99,21.75
06132,21.0,49.67
06133,23.49,95.06
06134,58.18,11.93
06135,20.27,71.78
06136,240.67,8.06
06137,90.12,13.45
06138,39.69,32.22
06139,210.22,3.28
06140,74.95,10.79
06141,99.19,22.06
06142,19.41,16.43
06143,72.98,57.54
06144,41.22,16.72
06145,51.65,22.3
06146,125.26,11.22
06147,4.9,88.78
06148,3.73,313.94
06149,104.42,127.07
06150,67.47,15.0
06151,40.82,32.73
06152,90.84,18.09
06153,152.86,170.59
06154,360.18,10.15
06155,98.87,24.01
06156,82.39,17.21
06157,123.36,4.66
06158,62.6,264.81
06159,45.89,62.74
06160,245.7,15.91
06161,92.01,4.15
06162,63.19,57.56
06901,31.79,89.71
06902,28.55,72.08
07001,45.72,118.94
07002,109.86,87.38
07003,60.02,320.61
07004,89.78,58.73
07005,81.46,146.32
07006,139.79,54.03
07007,18.06,32.78
07008,29.77,255.32
07009,8.29,126.3
07010,84.7,73.58
07011,145.02,361.68
07012,34.65,75.38
07013,149.69,65.88
07014,54.92,215.91
07015,186.34,157.32
07016,13.7,276.57
07017,15.37,73.72
07018,15.21,49.44
07019,139.39,2.04
07020,35.29,140.44
07021,13.44,29.91
07022,169.79,108.85
07023,66.09,71.37
07024,83.24,124.52
07025,19.49,35.81
07026,11.14,4433.39
07027,58.34,513.64
07028,17.44,73.97
07029,12.1,471.32
07030,34.92,65.84
07031,327.33,112.91
07032,117.31,246.71
07033,260.31,157.02
07034,19.89,66.57
07035,30.52,72.21
07036,54.22,634.18
07037,138.34,39.09
07038,41.13,69.83
07039,58.61,118.92
07040,208.63,1942.76
07041,70.04,41.68
07042,151.65,106.26
07043,86.91,63.79
07044,48.59,265.1
07045,42.31,46.56
07046,126.8,175.86
07047,52.86,59.18
07048,159.38,148.63
07049,38.54,51.5
07050,121.66,43.98
07051,82.08,109.2
07052,34.69,212.65
07053,20.25,80.99
07054,153.58,219.65
07055,86.51,135.45
07056,37.62,166.67
07057,124.86,104.88
07058,48.75,75.84
07059,39.12,134.76
07060,47.74,77.23
07061,42.8,330.56
07062,42.56,286.54
07063,42.93,46.75
07064,11.63,687.02
07065,23.96,123.46
07901,23.14,38.16
07902,31.44,48.54
08001,19.98,581.13
08002,43.14,5.68
08003,9.7,986.6
08004,13.68,22.08
08005,14.25,569.19
08006,6.45,2304.34
08007,21.48,395.72
08008,47.26,5.04
08009,25.34,464.72
08010,17.86,312.15
08011,27.16,82.66
08012,63.6,36.49
08013,29.23,58.5
08014,8.0,310.12
08015,20.94,10495.99
08016,43.11,55.02
08017,17.25,214.2
08018,36.72,95.15
08019,100.76,16032.63
08020,50.39,127.53
08021,31.09,2.93
08022,22.54,755.01
08023,28.81,303.89
08024,43.4,13.71
08025,47.44,41.99
08026,41.19,6.05
08027,1.15,806.09
08028,17.09,79.29
08029,9.02,502.0
08030,6.98,1030.95
08031,9.22,382.0
08032,0.74,3751.35
08033,37.41,459.4
08034,33.02,28.92
