Codigo Municipio,Empresario que emplea personal,Empresario que no emplea personal
44263,20,10
09463,10,10
45198,100,90
05263,*,20
23903,115,125
02082,*,5
09464,*,20
31257,45,40
34236,*,25
24227,95,125
34237,*,50
31258,180,260
02083,15,25
47226,*,20
26175,*,15
47227,*,5
49270,*,15
02084,15,*
37372,*,30
40228,15,45
47228,25,50
40229,*,*
26176,*,*
09466,*,*
41101,175,265
16273,10,40
09467,*,15
49272,*,10
49271,10,20
47229,10,30
33076,885,930
14073,80,135
28181,1660,1285
37373,45,60
28182,*,15
34238,*,50
09471,*,10
33077,35,175
24228,15,95
24229,*,85
09472,*,*
09473,*,30
40230,5,10
44264,10,15
19324,*,25
03140,1130,1310
34240,*,15
34241,*,*
34242,10,*
34243,*,20
16274,*,*
12137,*,10
37374,75,75
09476,10,*
37375,20,50
26177,25,35
34245,*,35
34246,*,10
08304,50,75
17233,165,125
17232,10,30
47194,15,40
09424,*,*
25253,*,15
50282,*,*
37350,10,35
09425,35,50
43176,30,60
15092,325,605
44265,*,20
25255,20,65
46260,135,130
12138,1015,1090
16275,*,*
43177,15,25
26178,*,20
26179,*,10
42215,40,75
43178,70,135
49273,*,10
05264,*,5
29099,35,50
19325,*,10
44266,*,30
45199,85,145
41102,645,680
13098,65,100
14074,105,120
50295,*,*
12139,30,25
05265,*,15
37376,105,280
01059,6400,7995
27066,645,470
44267,*,*
12140,70,150
08308,10,25
02085,10,30
09478,*,*
42216,*,*
18189,30,25
39102,40,210
42217,*,*
47230,*,15
03081,180,150
46145,1115,720
46143,170,205
46146,55,90
27021,70,235
43052,35,90
32032,555,645
46110,565,860
27025,115,190
32036,35,155
32037,10,30
35034,855,585
42218,20,*
40231,10,10
46261,55,105
45200,220,325
19326,*,45
19327,60,25
22252,15,15
30043,1500,1280
37377,15,35
01060,30,20
19329,*,*
19330,*,15
45201,180,130
42219,*,*
16276,*,*
45202,110,225
33078,*,20
31261,*,15
46262,*,35
22253,10,*
02086,55,150
45203,65,175
45204,25,35
45205,370,360
29100,110,140
19331,70,160
19332,*,20
31262,10,20
09480,*,10
18192,100,105
06158,720,710
16277,*,20
16278,*,*
18913,20,55
11042,60,55
06159,85,85
50296,*,*
22254,135,150
06160,125,120
21078,65,115
48095,110,50
20078,25,50
01061,*,15
48096,355,355
37378,*,10
37379,*,15
01062,*,15
49275,1640,2645
48905,155,150
19333,*,*
05266,*,20
05267,5,*
50297,17860,24435
37380,*,*
48097,40,70
47231,205,205
20079,1050,1320
46263,*,40
26180,20,20
10216,65,155
10217,*,25
37381,*,25
16279,*,20
10218,40,40
06162,135,155
47232,*,10
06161,*,45
28183,*,95
26181,*,*
09482,*,10
16280,*,15
19334,*,*
40233,*,30
40234,25,20
15093,255,535
09483,15,10
48024,35,100
48025,35,50
20025,*,40
20026,15,10
20027,220,140
48913,45,50
01018,95,110
31073,*,25
48915,*,20
31907,460,535
20028,100,145
44268,*,*
10219,40,90
37382,*,15
19335,*,*
12141,*,15
26183,*,10
24230,10,110
18193,725,910
31263,15,20
12142,10,30
50298,195,480
21079,20,35
31264,15,20
14075,*,*
01063,100,110
18194,100,*
20081,320,420
20080,195,320
09485,*,10
31265,*,*
04103,*,*
