Codigo Municipio,Nº edificios,Nº Inmuebles
50040,109.0,117.0
22043,109.0,113.0
14007,5836.0,10198.0
23009,5292.0,9057.0
08016,636.0,1852.0
44033,411.0,430.0
50041,30.0,36.0
47012,130.0,133.0
09033,142.0,143.0
19047,186.0,227.0
23010,3942.0,8495.0
22044,196.0,230.0
36003,3675.0,8976.0
25039,281.0,369.0
31044,144.0,251.0
48012,769.0,3714.0
25040,2320.0,9035.0
02012,906.0,1247.0
09034,256.0,260.0
24009,320.0,339.0
50042,43.0,44.0
22045,152.0,155.0
27004,869.0,1005.0
08017,940.0,1710.0
20904,57.0,57.0
02014,397.0,428.0
13022,351.0,358.0
22046,497.0,590.0
48090,564.0,4336.0
03020,116.0,118.0
02013,397.0,401.0
08018,987.0,1837.0
34022,1094.0,1206.0
32005,876.0,879.0
22047,115.0,116.0
32006,1417.0,1694.0
07007,451.0,525.0
03021,1805.0,4165.0
43020,1277.0,1600.0
17015,3962.0,9622.0
15007,1916.0,1999.0
26024,280.0,298.0
24010,2693.0,7864.0
37039,304.0,308.0
44034,167.0,168.0
01011,220.0,262.0
23011,1572.0,1772.0
32007,1978.0,2040.0
10024,496.0,742.0
26026,531.0,1237.0
26025,121.0,151.0
19048,62.0,64.0
09035,406.0,423.0
19049,74.0,75.0
09036,43.0,45.0
34024,24.0,24.0
16027,1301.0,1344.0
48013,3293.0,50107.0
27901,1366.0,1609.0
31901,554.0,8443.0
42029,288.0,289.0
31045,293.0,349.0
32008,2344.0,5811.0
37040,367.0,380.0
09037,168.0,174.0
09038,218.0,233.0
09039,171.0,171.0
37041,75.0,75.0
31046,30.0,30.0
22048,2146.0,9827.0
11007,5158.0,13205.0
25041,337.0,390.0
43021,440.0,472.0
08252,3207.0,13236.0
50043,237.0,268.0
40025,209.0,214.0
22049,59.0,62.0
22050,94.0,111.0
42030,171.0,171.0
22051,57.0,64.0
06016,1754.0,2115.0
08019,70717.0,857862.0
34025,78.0,87.0
39009,1179.0,3271.0
39010,373.0,498.0
37042,58.0,58.0
16029,215.0,227.0
47013,116.0,116.0
49019,169.0,172.0
45018,305.0,313.0
05021,1179.0,2653.0
32009,3401.0,9586.0
42031,109.0,110.0
50044,214.0,229.0
39011,1091.0,1615.0
45019,3502.0,5501.0
31047,213.0,227.0
31048,157.0,163.0
