Codigo Municipio,Total Contratos,Contratos Hombres,Contratos Mujeres
08019,772822,364150,408672
08020,549,276,273
08021,920,121,799
08022,4839,2220,2619
08023,1204,555,649
08024,102,42,60
08025,433,238,195
08026,43,22,21
08027,119,78,41
08028,157,61,96
08029,3269,1995,1274
08030,1453,781,672
08031,559,382,177
08032,569,301,268
08033,3541,1832,1709
08034,288,105,183
08035,5440,2120,3320
08036,60,32,28
08037,875,599,276
08038,312,172,140
08039,55,29,26
08040,1475,651,824
08041,2075,1187,888
08042,126,67,59
08043,465,282,183
08044,808,525,283
08045,16,6,10
08046,1994,1065,929
08047,1105,566,539
08048,51,36,15
08049,244,140,104
08050,8,5,3
08051,6241,3867,2374
08052,180,85,95
08053,327,178,149
08054,5043,4039,1004
08055,57,31,26
08056,8326,4301,4025
08057,7,5,2
08058,496,375,121
08059,17,12,5
08060,24,9,15
08061,690,297,393
08062,38,21,17
08063,120,90,30
08064,370,176,194
08065,371,317,54
08066,820,443,377
08067,1088,615,473
08068,1300,858,442
08069,322,179,143
08070,21,11,10
08071,128,95,33
08072,984,502,482
08073,20975,11407,9568
08074,1599,805,794
08075,578,349,229
08076,3212,1806,1406
08077,6629,3419,3210
08078,32,15,17
08079,136,42,94
08080,166,51,115
08081,65,29,36
08082,353,215,138
08083,110,62,48
08084,140,108,32
08085,514,430,84
08086,5121,3032,2089
08087,15,7,8
08088,4040,1567,2473
08089,8971,4819,4152
08090,33,18,15
08091,1035,670,365
08092,401,237,164
08093,3,2,1
08094,718,406,312
08095,71,52,19
08096,20935,10680,10255
08097,341,198,143
08098,363,258,105
08099,79,34,45
08100,1925,1118,807
08101,47386,25320,22066
08102,10174,4577,5597
08103,117,62,55
08104,118,74,44
08105,1871,1030,841
08106,1823,1101,722
08107,2660,1391,1269
08108,2636,1726,910
08109,64,32,32
08110,2944,1511,1433
08111,172,69,103
08112,2335,1328,1007
08113,18556,8425,10131
08114,13376,8382,4994
08115,1760,1178,582
08116,210,96,114
08117,529,388,141
08118,3622,2090,1532
08119,1095,663,432
08120,531,262,269
08121,26220,13568,12652
08122,1317,1058,259
08123,3498,1725,1773
08124,10780,5288,5492
08125,8179,5601,2578
08126,1006,698,308
08127,3186,1681,1505
08128,24,11,13
08129,52,34,18
08130,27,23,4
08131,752,253,499
08132,42,28,14
08133,38,30,8
08134,115,57,58
08135,4892,2677,2215
08136,5163,3109,2054
08137,237,124,113
08138,465,202,263
08139,25,15,10
08140,400,198,202
08141,528,312,216
08142,6,5,1
08143,1076,713,363
08144,89,44,45
08145,2705,1854,851
08146,152,92,60
08147,2582,1398,1184
08148,148,96,52
08149,190,141,49
08150,125,86,39
08151,37,22,15
08152,48,22,26
08153,40,9,31
08154,671,442,229
08155,2338,1345,993
08156,7397,4804,2593
08157,1686,913,773
08158,774,464,310
08159,7156,4142,3014
08160,50,24,26
08161,1198,696,502
08162,457,276,181
08163,3299,1932,1367
08164,301,211,90
08165,3600,1748,1852
08166,163,84,79
08167,3388,2009,1379
08168,98,67,31
08169,22729,12996,9733
08170,92,26,66
08171,245,148,97
08172,2514,1423,1091
08174,189,113,76
08175,930,417,513
08176,25,21,4
08177,0,0,0
08178,43,25,18
08179,60,44,16
08180,5975,4025,1950
08181,4884,2511,2373
08182,486,300,186
08183,262,119,143
08184,18623,11378,7245
08185,29,13,16
08187,36234,17107,19127
08188,19,11,8
08189,28,19,9
08190,67,32,35
08191,1972,1274,698
08192,2966,2296,670
08193,114,54,60
08194,4512,2919,1593
08195,21,14,7
08196,9845,4667,5178
08197,1231,765,466
08198,445,259,186
08199,83,46,37
08200,21363,9999,11364
08201,103,57,46
08202,2693,1241,1452
08203,703,549,154
08204,231,137,94
08205,28902,12284,16618
08206,695,515,180
08207,776,322,454
08208,7345,4140,3205
08209,1364,762,602
08210,481,286,195
08211,5069,2619,2450
08212,49,37,12
08213,2764,1585,1179
08214,1637,954,683
