Codigo Municipio,1 hijo/a,2 hijos/as,3 hijos/as,4 o más hijos/as
37035,10,50,5,25
18021,1145,2485,1250,670
01006,30,20,5,10
40022,10,35,*,20
04018,30,45,25,15
19041,20,35,*,10
26017,35,75,20,20
26018,900,1740,940,550
43018,50,80,25,*
32003,85,115,45,45
39006,165,250,160,80
21008,180,405,200,155
38006,7210,7735,3130,1630
49014,10,15,10,10
23008,100,210,135,140
49015,25,55,20,15
01037,35,100,30,40
16025,*,*,*,*
48009,70,130,40,*
20055,1290,2980,1415,760
48914,50,45,15,10
01008,60,120,50,25
09027,*,*,*,*
35004,4160,5575,2920,2260
39007,25,65,30,35
25031,*,*,*,*
29020,310,540,230,180
48010,40,80,15,*
48011,1095,1920,380,300
13021,15,80,30,40
31036,70,145,50,65
47010,1475,1435,405,160
10021,270,925,455,230
19042,*,10,*,*
06012,90,470,310,270
23905,155,220,150,160
10023,45,145,75,45
28015,1975,2760,370,220
10022,25,40,35,45
21009,55,155,60,25
31037,*,15,5,5
26019,35,80,15,15
25032,*,5,*,*
07006,570,1075,275,165
31038,60,280,70,65
12016,195,200,140,40
31039,*,15,10,*
48023,60,100,40,20
15005,3215,3545,990,805
35005,65,125,65,70
08010,560,705,195,80
25033,120,185,100,30
25034,260,565,205,40
50035,*,15,10,*
48008,50,110,20,*
01004,130,220,65,50
35006,3255,4310,1290,1335
15006,480,855,265,305
43019,140,225,60,70
50036,*,*,*,*
25036,20,35,10,*
49016,20,25,20,25
01009,120,220,55,95
03019,990,2525,1240,645
20014,75,210,35,55
20903,310,755,125,130
39008,1470,2330,705,455
24008,875,1580,605,445
34017,55,125,40,60
49017,10,30,25,35
29021,*,10,*,20
06013,15,40,20,15
16026,10,15,10,10
37037,10,15,*,15
19043,*,20,*,*
09029,15,20,10,*
47011,15,75,60,20
18022,1260,2060,645,765
20015,105,210,50,75
28016,10,10,*,*
50037,10,25,10,*
50038,115,325,115,20
31040,*,30,10,*
19044,30,25,35,20
48091,100,220,30,40
46003,95,110,85,70
12001,95,165,60,55
48070,25,105,45,15
19045,*,25,25,10
31058,15,30,15,15
26020,70,90,25,40
42028,*,5,*,*
09030,*,15,5,10
34018,15,25,15,15
34019,*,15,20,10
26021,335,495,260,145
05017,*,15,*,*
05018,*,*,*,*
25037,25,50,35,*
09032,*,20,5,*
08011,275,320,60,45
05019,3435,7710,2650,2150
33004,8995,10715,3775,2525
08012,160,305,145,35
17012,105,240,55,35
08013,70,225,60,50
32004,100,490,180,180
01010,220,365,115,90
21010,1420,2400,840,830
31041,140,260,60,50
22039,95,105,85,40
40024,65,155,65,100
02011,35,100,55,40
12017,15,25,10,*
49018,25,65,30,15
46044,255,725,370,195
34020,*,*,*,*
31042,165,595,180,125
44031,10,15,*,*
22040,15,25,5,5
22041,10,30,10,*
20017,640,1490,600,385
22042,*,20,*,*
41012,190,500,300,100
41013,365,755,310,350
26022,15,35,15,10
20018,655,1860,870,440
06014,505,1035,505,340
50039,65,85,30,*
12018,45,50,15,*
31043,*,*,*,10
19046,2580,3910,1440,520
45017,15,40,15,15
37038,40,110,45,50
04019,15,45,15,5
06015,9170,17585,8300,7040
08015,16290,30040,10435,6755
26023,25,65,45,35
44032,*,*,*,*
08904,995,1750,945,550
41014,120,390,215,180
50040,*,20,*,*
22043,10,20,*,*
14007,885,2685,1280,815
23009,980,2410,715,690
08016,210,330,95,55
44033,25,55,30,*
50041,*,*,*,*
47012,*,25,15,10
09033,*,15,*,*
19047,*,5,10,*
23010,750,2565,1045,945
22044,20,50,5,10
36003,940,1355,695,450
25039,15,55,20,*
31044,20,45,10,20
48012,180,340,130,*
25040,1150,2020,665,635
02012,95,290,145,120
09034,15,40,20,30
24009,40,35,*,45
50042,*,*,*,*
22045,5,20,*,*
27004,125,170,55,95
08017,300,480,235,75
20904,10,15,*,*
02014,35,45,35,25
13022,15,65,45,30
22046,95,155,25,20
48090,630,925,290,320
03020,5,25,5,*
02013,*,25,*,15
08018,330,490,220,60
34022,65,150,75,85
32005,135,165,35,50
22047,25,35,10,10
32006,225,345,75,75
07007,*,65,40,*
03021,260,1225,300,360
43020,210,455,120,35
17015,1695,2620,455,430
15007,260,610,210,260
26024,15,35,30,10
24010,1070,1490,355,360
37039,10,35,35,35
44034,5,25,20,*
01011,15,40,20,*
23011,85,300,225,175
32007,250,190,70,*
10024,30,100,65,20
26026,55,220,120,70
26025,5,15,*,5
19048,*,*,*,*
09035,*,25,30,35
19049,*,*,*,*
09036,*,*,*,*
34024,*,*,*,*
16027,75,125,75,55
48013,9845,12745,4385,2875
27901,290,395,60,145
31901,1305,2930,920,490
42029,*,25,5,15
31045,35,75,20,25
32008,925,1340,385,205
37040,40,55,25,20
09037,*,15,*,*
09038,*,25,*,10
09039,*,*,*,*
37041,*,10,*,*
31046,*,5,*,10
22048,1300,2360,745,470
11007,1700,2630,1240,1090
25041,55,115,45,15
43021,30,65,*,*
08252,2460,4250,1395,675
50043,35,35,10,*
40025,*,40,*,15
