Codigo Municipio,Nº Hogares si Internet,Nº Hogares no Internet
26030,*,*
44041,15,25
03043,705,715
46071,95,145
31253,35,35
20024,105,120
50901,20,70
22057,105,85
02016,75,225
06020,245,595
22058,40,65
22059,280,405
03044,1115,1320
08023,2180,1040
50050,5,45
48020,83160,64495
33006,190,745
22060,270,275
22061,2020,1630
07008,1630,1195
25055,35,50
50051,145,250
22062,*,75
43027,45,45
43028,755,505
17022,2200,1930
22063,35,60
50052,15,30
17234,65,35
31056,55,35
42036,*,20
30011,760,1650
43029,80,90
44042,15,60
32012,55,330
17023,8970,6990
05033,10,65
05034,*,10
05035,5,50
14011,115,155
22064,20,70
44043,*,65
42037,*,20
37052,40,90
34033,*,*
17029,55,45
34035,20,40
34034,15,35
28022,12635,1870
33007,245,455
28023,1935,740
26031,15,45
47020,35,80
32013,230,1085
24020,45,170
46072,845,950
40032,155,140
47021,15,30
47022,10,20
19052,*,20
37054,15,125
06021,130,295
47023,1015,490
37055,15,45
02017,75,430
05036,15,50
10030,45,220
05037,25,120
15010,140,635
15011,2805,3800
32014,145,405
13023,1780,2390
47024,55,80
46073,205,355
41016,2040,1165
21013,2415,2520
32015,60,475
22066,195,220
03045,70,115
17024,95,75
22067,20,20
21014,765,1275
43030,85,180
02018,195,240
16036,15,50
05038,*,70
02019,195,910
46074,835,560
24021,350,515
15012,810,615
50053,195,170
22068,*,40
50054,*,25
25057,60,55
17025,435,185
44044,15,40
29030,125,335
25058,1175,1195
43031,430,330
50055,960,960
42038,*,15
41017,5055,1670
11010,970,1990
42039,15,115
45021,555,690
17026,170,90
08024,100,125
24022,*,160
12032,6260,6820
12031,1040,790
11011,370,410
25059,310,105
43032,110,140
43033,285,120
10031,20,75
50056,85,135
37056,*,25
27008,160,500
49024,115,255
37057,20,75
25056,60,65
09054,*,35
05039,5,15
43034,170,105
47025,15,40
34036,25,85
28024,40,45
09055,*,25
13024,170,290
24023,30,120
50057,270,395
28025,60,140
17027,845,615
41018,2245,2395
38008,1705,1005
38009,1245,740
49025,25,75
49026,15,105
40033,15,25
26032,*,20
19053,385,680
49027,15,85
49028,10,50
37058,*,25
26033,40,60
15013,1495,1135
26034,130,245
09056,1415,1625
44045,85,145
22069,110,85
10032,250,565
08025,515,215
08026,45,35
28026,2660,745
17028,75,55
42041,*,15
50058,*,40
18032,75,80
16038,*,30
19054,10,80
16039,50,205
16040,*,60
37059,15,40
45022,70,135
37060,30,75
34037,35,140
38010,620,1220
16041,100,80
44046,*,35
36004,2155,1850
46075,25,45
46076,105,225
09057,30,60
07009,210,210
42042,10,15
28027,425,315
14012,1025,1690
19055,5,25
50059,220,175
05040,*,40
50060,25,75
30012,2290,2150
09058,105,105
07010,1655,705
46077,1765,1990
31057,400,525
44047,25,65
27902,2150,1550
50061,40,75
49029,60,215
50062,580,380
42043,980,1025
24024,75,260
29031,245,520
05041,170,445
09059,38750,32325
31059,40,55
41019,1045,1155
45023,675,310
06022,375,870
46078,8460,6575
31060,3960,2625
24025,35,130
45024,220,310
03046,855,410
18033,45,75
19057,*,40
28028,435,520
50063,15,15
47026,*,20
34038,40,90
49030,15,20
24026,145,415
34039,*,30
09060,25,65
31061,20,20
48021,325,365
43035,60,70
37061,30,85
40034,10,30
15014,310,1235
25060,10,15
15015,625,620
17031,50,55
12033,375,855
17030,170,180
31062,295,260
28029,175,135
19058,2470,790
08027,200,110
50064,75,130
45025,400,275
40035,50,35
49031,5,65
45026,55,90
10033,55,160
24027,220,285
09061,15,75
37063,*,40
06023,830,1115
37065,20,150
06024,80,480
10034,35,145
37062,10,35
45027,55,160
13025,10,145
13026,75,185
05042,20,60
41020,2035,3535
05043,10,30
05044,30,120
21015,55,295
26035,*,15
39012,1910,1210
09062,*,25
39013,125,255
47027,830,575
47028,*,15
40036,85,200
10035,305,605
05045,10,25
25061,10,25
50065,*,15
14013,3570,4370
44048,10,15
43036,205,205
23017,205,550
33008,375,550
33009,130,400
31063,5,45
42044,*,25
42045,40,150
08028,320,210
08029,1170,440
28030,480,435
37067,1110,275
10036,30,135
47029,*,20
24028,75,115
24029,135,210
37068,65,105
08030,1940,485
39014,165,235
24030,840,1335
10037,22695,14355
10038,10,30
18034,110,160
10039,40,195
28031,450,675
17032,560,570
18035,250,385
11012,30085,16880
31064,350,470
50066,850,465
18036,1220,380
21016,155,325
40037,5,15
44049,195,245
08031,700,735
43037,5605,4485
26036,4845,4480
34041,10,45
18114,105,190
44050,650,1130
06025,780,1650
44051,660,770
21017,610,1055
30013,2160,1800
42046,10,25
50067,3715,4600
50068,555,645
50069,*,40
36005,1540,1860
22072,35,60
08034,205,145
17033,1810,810
08033,4225,2280
08032,730,495
08035,4360,3160
06026,105,285
45028,800,1010
09064,60,135
45029,25,95
18037,120,110
12034,400,435
08037,545,370
46079,55,145
03049,2970,3475
03048,1335,1435
08038,380,360
50070,*,35
44052,*,40
17034,2405,1760
08036,45,*
03047,5260,4745
42048,10,30
37069,245,245
37070,95,150
07011,14195,4660
32016,70,465
37071,*,40
13027,660,970
37072,15,60
34042,55,85
45030,70,165
37073,115,160
24031,30,80
10040,50,180
06027,125,190
49032,35,155
39015,120,315
44053,*,50
25062,195,200
45031,770,625
44054,5,55
45032,100,120
39016,7295,4535
44055,*,40
15016,575,1780
43903,630,615
28032,1595,830
49033,100,265
41021,5940,4285
36006,1825,3220
23018,335,705
15017,5540,3645
43038,8765,3855
10041,180,310
44056,100,195
17035,150,75
41022,660,1265
06028,600,1475
07012,525,470
47030,185,295
24032,10,55
17036,710,685
17037,30,25
03050,6270,4705
01017,175,355
16042,245,400
50071,*,60
09065,15,70
23019,280,515
37074,15,75
10042,*,25
19059,15,30
45033,55,130
06029,145,405
19060,35,70
21018,300,545
47031,20,70
29032,1510,1710
16043,*,45
16044,*,25
08039,120,75
19061,*,30
17038,120,45
22074,75,75
13028,2455,2785
03051,65,95
37077,30,90
40039,50,100
24033,15,90
36007,160,550
10043,150,275
28033,1510,580
21019,110,200
09066,*,30
24034,695,970
39027,695,885
39017,105,165
47032,15,50
22075,35,45
46080,135,460
07013,1985,2100
16901,110,285
30014,350,465
18038,215,325
17039,505,580
26037,10,65
45034,265,500
22076,60,90
47033,45,65
16045,20,105
05046,*,15
26038,*,30
46081,2470,2600
33010,300,615
22077,70,105
38011,6865,3750
37078,185,270
05047,620,1520
42049,10,50
24036,15,140
25063,*,50
23020,380,395
28034,75,140
17040,140,105
08040,3660,1950
46082,1200,1250
12036,130,210
22078,120,190
36008,4690,5165
33012,1215,1495
33011,1845,3000
09067,40,175
18039,595,1230
37079,10,30
29033,255,605
29034,165,235
47034,10,35
26039,5,10
04030,135,490
43907,1000,1280
08041,2900,2680
08042,730,315
19064,15,45
09068,*,15
37080,45,80
37081,110,330
40040,705,900
17041,60,75
19065,15,60
37082,100,315
37083,30,55
44059,90,180
41023,1630,2100
40041,235,260
05048,15,55
04031,745,915
08043,1060,470
03052,180,280
44060,*,20
13029,15,35
44061,10,30
16046,20,105
16047,20,100
41901,515,705
44062,*,15
42050,*,15
16048,80,130
10044,255,535
18040,65,105
26040,10,30
16049,25,50
10045,210,295
21020,40,140
16050,40,120
16051,*,70
16052,110,265
14014,345,880
29035,190,570
36009,455,1550
49034,60,185
19066,10,40
44063,10,25
16053,95,110
49035,40,75
43039,15,55
31065,570,490
43040,95,75
07014,2920,1860
22079,25,50
15018,245,200
22080,45,105
08044,1290,830
18042,85,155
06030,20,60
34045,*,30
17042,175,105
08045,25,*
42051,*,15
28035,400,390
42052,*,*
13030,35,40
18043,30,45
30015,4120,5105
33013,55,140
09070,*,20
49036,40,220
10046,15,85
37085,1605,725
32018,75,515
32017,180,545
27009,250,725
32019,2170,3505
15019,4280,7125
49037,10,85
04032,1330,1580
16055,145,200
40043,440,495
23021,80,160
10047,180,280
14015,415,600
46083,3320,4715
31066,180,235
31067,495,385
09071,*,30
09072,55,85
02020,55,235
46084,320,500
23901,160,435
08046,4805,1685
26041,15,65
16056,55,215
14016,235,415
09073,335,175
09074,175,230
05049,75,125
34046,*,15
09075,10,45
45035,30,145
08047,1035,925
19067,*,35
50072,*,80
50073,590,735
15901,720,1125
46085,2315,3470
14017,2075,3060
08048,215,125
45036,120,205
24037,30,175
41024,4930,4945
06031,55,195
15020,520,1135
23024,2645,2985
47035,145,275
37086,5,35
45037,270,510
14018,770,870
24038,515,935
15021,800,1565
45038,1145,515
37087,275,125
37088,25,75
40044,15,55
10048,35,110
06032,*,30
16057,*,45
42053,*,10
16058,*,50
42054,*,10
29036,80,240
33014,2405,2025
05051,20,75
09076,*,15
45039,35,95
46086,15,25
13031,580,500
41025,520,425
34047,325,535
24039,395,570
13032,190,340
24040,60,195
30016,42315,34285
29037,30,95
29038,4710,3680
21021,3545,3580
32020,245,1055
39018,1290,940
24041,90,195
19070,20,45
29039,555,795
37089,15,30
26042,210,275
10049,810,930
45040,320,470
10050,95,480
19071,2780,1325
29040,385,680
42055,20,60
29041,1085,940
10051,30,220
41026,855,1180
45041,1205,990
28036,845,230
46087,10,50
46088,20,95
16060,115,300
10052,15,90
10053,30,110
06033,135,505
16061,210,310
16062,*,15
16063,10,45
16064,65,295
02021,130,390
02022,*,180
16065,50,175
10056,55,225
10057,15,70
06034,30,60
19073,*,15
02023,70,245
10054,85,205
37090,*,35
10055,95,215
05052,*,50
45042,35,65
49038,15,50
49039,55,120
02024,815,1075
16066,500,680
