Nombre Provincia,Codigo Provincia,Nombre Municipio,Codigo Municipio
Badajoz,06,Cristina,06041
Badajoz,06,Don Álvaro,06043
Badajoz,06,Don Benito,06044
Badajoz,06,Entrín Bajo,06045
Badajoz,06,Esparragalejo,06046
Badajoz,06,Esparragosa de la Serena,06047
Badajoz,06,Esparragosa de Lares,06048
Badajoz,06,Feria,06049
Badajoz,06,Fregenal de la Sierra,06050
Badajoz,06,Fuenlabrada de los Montes,06051
Badajoz,06,Fuente de Cantos,06052
Badajoz,06,Fuente del Arco,06053
Badajoz,06,Fuente del Maestre,06054
Badajoz,06,Fuentes de León,06055
Badajoz,06,Garbayuela,06056
Badajoz,06,Garlitos,06057
Badajoz,06,"Garrovilla, La",06058
Badajoz,06,Granja de Torrehermosa,06059
Badajoz,06,Guadiana,06903
Badajoz,06,Guareña,06060
Badajoz,06,"Haba, La",06061
Badajoz,06,Helechosa de los Montes,06062
Badajoz,06,Herrera del Duque,06063
Badajoz,06,Higuera de la Serena,06064
Badajoz,06,Higuera de Llerena,06065
Badajoz,06,Higuera de Vargas,06066
Badajoz,06,Higuera la Real,06067
Badajoz,06,Hinojosa del Valle,06068
Badajoz,06,Hornachos,06069
Badajoz,06,Jerez de los Caballeros,06070
Badajoz,06,"Lapa, La",06071
Badajoz,06,Llera,06073
Badajoz,06,Llerena,06074
Badajoz,06,Lobón,06072
Badajoz,06,Magacela,06075
Badajoz,06,Maguilla,06076
Badajoz,06,Malcocinado,06077
Badajoz,06,Malpartida de la Serena,06078
Badajoz,06,Manchita,06079
Badajoz,06,Medellín,06080
Badajoz,06,Medina de las Torres,06081
Badajoz,06,Mengabril,06082
Badajoz,06,Mérida,06083
Badajoz,06,Mirandilla,06084
Badajoz,06,Monesterio,06085
Badajoz,06,Montemolín,06086
Badajoz,06,Monterrubio de la Serena,06087
Badajoz,06,Montijo,06088
Badajoz,06,"Morera, La",06089
Badajoz,06,"Nava de Santiago, La",06090
Badajoz,06,Navalvillar de Pela,06091
Badajoz,06,Nogales,06092
