Totales Territoriales;Provincias;Municipios;Grupos CNAE;Periodo;Total
Total Nacional;03 Alicante/Alacant;03116 Salinas;Total;2020;104
Total Nacional;03 Alicante/Alacant;03117 Sanet y Negrals;Total;2020;53
Total Nacional;03 Alicante/Alacant;03118 San Fulgencio;Total;2020;493
Total Nacional;03 Alicante/Alacant;03119 Sant Joan d'Alacant;Total;2020;2.096
Total Nacional;03 Alicante/Alacant;03120 San Miguel de Salinas;Total;2020;503
Total Nacional;03 Alicante/Alacant;03121 Santa Pola;Total;2020;2.285
Total Nacional;03 Alicante/Alacant;03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total;2020;3.722
Total Nacional;03 Alicante/Alacant;03123 Sax;Total;2020;579
Total Nacional;03 Alicante/Alacant;03124 Sella;Total;2020;38
Total Nacional;03 Alicante/Alacant;03125 Senija;Total;2020;51
Total Nacional;03 Alicante/Alacant;03127 Tàrbena;Total;2020;43
Total Nacional;03 Alicante/Alacant;03128 Teulada;Total;2020;1.450
Total Nacional;03 Alicante/Alacant;03129 Tibi;Total;2020;99
Total Nacional;03 Alicante/Alacant;03130 Tollos;Total;2020;.
Total Nacional;03 Alicante/Alacant;03131 Tormos;Total;2020;17
Total Nacional;03 Alicante/Alacant;03132 Torremanzanas/Torre de les Maçanes, la;Total;2020;34
Total Nacional;03 Alicante/Alacant;03133 Torrevieja;Total;2020;6.298
Total Nacional;03 Alicante/Alacant;03134 Vall d'Alcalà, la;Total;2020;5
Total Nacional;03 Alicante/Alacant;03135 Vall d'Ebo, la;Total;2020;19
Total Nacional;03 Alicante/Alacant;03136 Vall de Gallinera, la;Total;2020;41
Total Nacional;03 Alicante/Alacant;03137 Vall de Laguar, la;Total;2020;62
Total Nacional;03 Alicante/Alacant;03138 Verger, el;Total;2020;410
Total Nacional;03 Alicante/Alacant;03139 Villajoyosa/Vila Joiosa, la;Total;2020;2.162
Total Nacional;03 Alicante/Alacant;03140 Villena;Total;2020;2.291
Total Nacional;03 Alicante/Alacant;03901 Poblets, els;Total;2020;183
Total Nacional;03 Alicante/Alacant;03902 Pilar de la Horadada;Total;2020;1.325
Total Nacional;03 Alicante/Alacant;03903 Montesinos, Los;Total;2020;435
Total Nacional;03 Alicante/Alacant;03904 San Isidro;Total;2020;174
Total Nacional;04 Almería;04001 Abla;Total;2020;60
Total Nacional;04 Almería;04002 Abrucena;Total;2020;59
Total Nacional;04 Almería;04003 Adra;Total;2020;1.300
Total Nacional;04 Almería;04004 Albanchez;Total;2020;37
Total Nacional;04 Almería;04005 Alboloduy;Total;2020;25
Total Nacional;04 Almería;04006 Albox;Total;2020;926
Total Nacional;04 Almería;04007 Alcolea;Total;2020;35
Total Nacional;04 Almería;04008 Alcóntar;Total;2020;27
Total Nacional;04 Almería;04009 Alcudia de Monteagud;Total;2020;.
Total Nacional;04 Almería;04010 Alhabia;Total;2020;43
Total Nacional;04 Almería;04011 Alhama de Almería;Total;2020;268
Total Nacional;04 Almería;04012 Alicún;Total;2020;6
Total Nacional;04 Almería;04013 Almería;Total;2020;12.578
Total Nacional;04 Almería;04014 Almócita;Total;2020;10
Total Nacional;04 Almería;04015 Alsodux;Total;2020;.
Total Nacional;04 Almería;04016 Antas;Total;2020;377
Total Nacional;04 Almería;04017 Arboleas;Total;2020;229
Total Nacional;04 Almería;04018 Armuña de Almanzora;Total;2020;18
Total Nacional;04 Almería;04019 Bacares;Total;2020;10
Total Nacional;04 Almería;04020 Bayárcal;Total;2020;14
Total Nacional;04 Almería;04021 Bayarque;Total;2020;6
Total Nacional;04 Almería;04022 Bédar;Total;2020;58
Total Nacional;04 Almería;04023 Beires;Total;2020;.
Total Nacional;04 Almería;04024 Benahadux;Total;2020;265
Total Nacional;04 Almería;04026 Benitagla;Total;2020;.
Total Nacional;04 Almería;04027 Benizalón;Total;2020;7
